date,cases,day_of_week
2023-01-01,0,7
2023-01-02,0,1
2023-01-03,4,2
2023-01-04,14,3
2023-01-05,6,4
2023-01-06,20,5
2023-01-07,16,6
2023-01-08,8,7
2023-01-09,33,1
2023-01-10,79,2
2023-01-11,80,3
2023-01-12,29,4
2023-01-13,92,5
2023-01-14,77,6
2023-01-15,82,7
2023-01-16,192,1
2023-01-17,202,2
2023-01-18,286,3
2023-01-19,522,4
2023-01-20,780,5
2023-01-21,426,6
2023-01-22,595,7
2023-01-23,894,1
2023-01-24,1252,2
2023-01-25,1786,3
2023-01-26,1893,4
2023-01-27,1579,5
2023-01-28,1503,6
2023-01-29,1264,7
2023-01-30,2584,1
2023-01-31,2024,2
2023-02-01,4831,3
2023-02-02,5471,4
2023-02-03,4324,5
2023-02-04,8129,6
2023-02-05,2684,7
2023-02-06,10460,1
2023-02-07,10010,2
2023-02-08,10494,3
2023-02-09,13962,4
2023-02-10,10061,5
2023-02-11,14637,6
2023-02-12,13234,7
2023-02-13,27325,1
2023-02-14,30513,2
2023-02-15,24593,3
2023-02-16,24900,4
2023-02-17,48643,5
2023-02-18,26967,6
2023-02-19,17874,7
2023-02-20,45780,1
2023-02-21,116304,2
2023-02-22,54486,3
2023-02-23,77701,4
2023-02-24,57601,5
2023-02-25,64666,6
2023-02-26,38385,7
2023-02-27,53333,1
2023-02-28,97928,2
2023-03-01,101899,3
2023-03-02,120126,4
2023-03-03,113709,5
2023-03-04,129975,6
2023-03-05,25141,7
2023-03-06,101197,1
2023-03-07,69100,2
2023-03-08,188684,3
2023-03-09,124047,4
2023-03-10,118795,5
2023-03-11,92382,6
2023-03-12,32450,7
2023-03-13,130247,1
2023-03-14,140611,2
2023-03-15,74421,3
2023-03-16,66516,4
2023-03-17,86199,5
2023-03-18,51282,6
2023-03-19,42282,7
2023-03-20,82222,1
2023-03-21,59848,2
2023-03-22,128103,3
2023-03-23,31984,4
2023-03-24,66507,5
2023-03-25,32570,6
2023-03-26,29869,7
2023-03-27,38817,1
2023-03-28,57099,2
2023-03-29,50422,3
2023-03-30,35883,4
2023-03-31,49060,5
2023-04-01,27482,6
2023-04-02,13464,7
2023-04-03,20100,1
2023-04-04,44429,2
2023-04-05,21766,3
2023-04-06,14524,4
2023-04-07,20093,5
2023-04-08,9167,6
2023-04-09,6180,7
2023-04-10,14033,1
2023-04-11,13177,2
2023-04-12,16218,3
2023-04-13,10618,4
2023-04-14,6477,5
2023-04-15,5863,6
2023-04-16,3553,7
2023-04-17,12029,1
2023-04-18,4447,2
2023-04-19,3915,3
2023-04-20,3934,4
2023-04-21,5715,5
2023-04-22,2397,6
2023-04-23,1191,7
2023-04-24,5679,1
2023-04-25,1717,2
2023-04-26,4245,3
2023-04-27,2595,4
2023-04-28,2603,5
2023-04-29,1975,6
2023-04-30,729,7
2023-05-01,2885,1
2023-05-02,1884,2
2023-05-03,2157,3
2023-05-04,2558,4
2023-05-05,1073,5
2023-05-06,516,6
2023-05-07,401,7
2023-05-08,1361,1
2023-05-09,1565,2
2023-05-10,1013,3
2023-05-11,1070,4
2023-05-12,977,5
2023-05-13,1644,6
2023-05-14,679,7
2023-05-15,1246,1
2023-05-16,1157,2
2023-05-17,757,3
2023-05-18,1918,4
2023-05-19,2953,5
2023-05-20,1221,6
2023-05-21,548,7
2023-05-22,921,1
2023-05-23,1372,2
2023-05-24,977,3
2023-05-25,1771,4
2023-05-26,2388,5
2023-05-27,859,6
2023-05-28,538,7
2023-05-29,1429,1
2023-05-30,1094,2
