date,deaths
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,1
2023-01-05,0
2023-01-06,1
2023-01-07,0
2023-01-08,0
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,0
2023-01-14,0
2023-01-15,1
2023-01-16,2
2023-01-17,1
2023-01-18,1
2023-01-19,1
2023-01-20,1
2023-01-21,1
2023-01-22,0
2023-01-23,2
2023-01-24,0
2023-01-25,0
2023-01-26,2
2023-01-27,1
2023-01-28,0
2023-01-29,0
2023-01-30,1
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,1
2023-02-04,1
2023-02-05,1
2023-02-06,1
2023-02-07,0
2023-02-08,1
2023-02-09,2
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,1
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,2
2023-02-21,0
2023-02-22,0
2023-02-23,0
2023-02-24,0
2023-02-25,0
2023-02-26,0
2023-02-27,1
2023-02-28,0
2023-03-01,0
2023-03-02,1
2023-03-03,3
2023-03-04,0
2023-03-05,0
2023-03-06,1
2023-03-07,1
2023-03-08,1
2023-03-09,0
2023-03-10,1
2023-03-11,3
2023-03-12,1
2023-03-13,1
2023-03-14,3
2023-03-15,1
2023-03-16,0
2023-03-17,4
2023-03-18,0
2023-03-19,0
2023-03-20,1
2023-03-21,3
2023-03-22,1
2023-03-23,1
2023-03-24,1
2023-03-25,1
2023-03-26,1
2023-03-27,6
2023-03-28,1
2023-03-29,0
2023-03-30,1
2023-03-31,3
2023-04-01,0
2023-04-02,2
2023-04-03,2
2023-04-04,4
2023-04-05,1
2023-04-06,1
2023-04-07,4
2023-04-08,1
2023-04-09,1
2023-04-10,0
2023-04-11,4
2023-04-12,2
2023-04-13,5
2023-04-14,5
2023-04-15,2
2023-04-16,2
2023-04-17,1
2023-04-18,1
2023-04-19,1
2023-04-20,4
2023-04-21,1
2023-04-22,1
2023-04-23,1
2023-04-24,4
2023-04-25,2
2023-04-26,4
2023-04-27,8
2023-04-28,1
2023-04-29,3
2023-04-30,1
2023-05-01,1
2023-05-02,0
2023-05-03,2
2023-05-04,3
2023-05-05,1
2023-05-06,1
2023-05-07,0
2023-05-08,0
2023-05-09,2
2023-05-10,2
2023-05-11,0
2023-05-12,2
2023-05-13,1
2023-05-14,1
2023-05-15,0
2023-05-16,1
2023-05-17,1
2023-05-18,1
2023-05-19,0
2023-05-20,2
2023-05-21,0
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,2
2023-05-26,0
2023-05-27,1
2023-05-28,1
2023-05-29,2
2023-05-30,0
