day,I
1,120
2,143
3,106
4,119
5,120
6,113
7,130
8,95
9,104
10,134
11,104
12,93
13,102
14,79
15,106
16,84
17,79
18,66
19,86
20,85
21,89
22,84
23,88
24,90
25,87
26,92
27,96
28,84
29,110
30,100
31,105
32,106
33,111
34,88
35,104
36,116
37,103
38,100
39,109
40,132
41,127
42,130
43,133
44,134
45,164
46,150
47,193
48,197
49,215
50,253
51,285
52,305
53,343
54,376
55,350
56,426
57,448
58,458
59,479
60,501
61,561
62,611
63,619
64,664
65,674
66,684
67,707
68,750
69,822
70,894
71,874
72,930
73,976
74,1013
75,1006
76,1096
77,1128
78,1121
79,1100
80,1201
81,1183
82,1182
83,1145
84,1257
85,1227
86,1258
87,1193
88,1192
89,1276
90,1246
91,1162
92,1265
93,1233
94,1220
95,1230
96,1252
97,1148
98,1165
99,1177
100,1070
101,1110
102,938
103,955
104,898
105,845
106,789
107,795
108,784
109,685
110,680
111,630
112,553
113,542
114,531
115,530
116,501
117,473
118,454
119,427
120,396
121,402
122,409
123,403
124,400
125,366
126,364
127,370
128,354
129,298
130,310
131,322
132,296
133,264
134,233
135,244
136,223
137,211
138,197
139,215
140,191
141,199
142,182
143,158
144,168
145,172
146,161
147,137
148,142
149,124
150,138
