date,deaths
2023-01-01,1
2023-01-02,4
2023-01-03,1
2023-01-04,1
2023-01-05,0
2023-01-06,4
2023-01-07,0
2023-01-08,0
2023-01-09,2
2023-01-10,3
2023-01-11,1
2023-01-12,2
2023-01-13,0
2023-01-14,4
2023-01-15,1
2023-01-16,0
2023-01-17,1
2023-01-18,1
2023-01-19,0
2023-01-20,0
2023-01-21,1
2023-01-22,0
2023-01-23,1
2023-01-24,1
2023-01-25,1
2023-01-26,0
2023-01-27,0
2023-01-28,1
2023-01-29,0
2023-01-30,0
2023-01-31,1
2023-02-01,2
2023-02-02,0
2023-02-03,1
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,0
2023-02-09,0
2023-02-10,1
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,1
2023-02-15,1
2023-02-16,0
2023-02-17,1
2023-02-18,0
2023-02-19,0
2023-02-20,0
2023-02-21,2
2023-02-22,1
2023-02-23,0
2023-02-24,4
2023-02-25,2
2023-02-26,0
2023-02-27,2
2023-02-28,1
2023-03-01,3
2023-03-02,1
2023-03-03,8
2023-03-04,3
2023-03-05,0
2023-03-06,3
2023-03-07,4
2023-03-08,0
2023-03-09,0
2023-03-10,2
2023-03-11,5
2023-03-12,1
2023-03-13,1
2023-03-14,7
2023-03-15,5
2023-03-16,1
2023-03-17,6
2023-03-18,4
2023-03-19,2
2023-03-20,1
2023-03-21,1
2023-03-22,2
2023-03-23,5
2023-03-24,2
2023-03-25,1
2023-03-26,1
2023-03-27,23
2023-03-28,1
2023-03-29,18
2023-03-30,3
2023-03-31,17
2023-04-01,6
2023-04-02,15
2023-04-03,2
2023-04-04,3
2023-04-05,8
2023-04-06,7
2023-04-07,7
2023-04-08,1
2023-04-09,0
2023-04-10,5
2023-04-11,0
2023-04-12,10
2023-04-13,13
2023-04-14,3
2023-04-15,9
2023-04-16,0
2023-04-17,3
2023-04-18,3
2023-04-19,12
2023-04-20,12
2023-04-21,2
2023-04-22,0
2023-04-23,3
2023-04-24,14
2023-04-25,2
2023-04-26,2
2023-04-27,6
2023-04-28,6
2023-04-29,4
2023-04-30,3
2023-05-01,12
2023-05-02,2
2023-05-03,1
2023-05-04,1
2023-05-05,6
2023-05-06,1
2023-05-07,0
2023-05-08,1
2023-05-09,0
2023-05-10,1
2023-05-11,3
2023-05-12,2
2023-05-13,1
2023-05-14,0
2023-05-15,2
2023-05-16,2
2023-05-17,4
2023-05-18,2
2023-05-19,4
2023-05-20,1
2023-05-21,0
2023-05-22,3
2023-05-23,2
2023-05-24,0
2023-05-25,2
2023-05-26,2
2023-05-27,1
2023-05-28,1
2023-05-29,4
2023-05-30,1
