day,I
1,87
2,107
3,119
4,102
5,113
6,79
7,78
8,67
9,100
10,81
11,97
12,95
13,109
14,63
15,69
16,80
17,97
18,106
19,87
20,106
21,76
22,104
23,105
24,107
25,129
26,93
27,88
28,120
29,144
30,112
31,108
32,142
33,148
34,196
35,159
36,136
37,145
38,163
39,213
40,221
41,208
42,228
43,238
44,202
45,289
46,306
47,280
48,279
49,297
50,378
51,384
52,445
53,378
54,462
55,449
56,512
57,544
58,519
59,564
60,550
61,621
62,655
63,633
64,615
65,705
66,733
67,799
68,762
69,796
70,813
71,858
72,853
73,842
74,916
75,920
76,952
77,968
78,964
79,920
80,950
81,934
82,998
83,994
84,901
85,1027
86,852
87,948
88,924
89,937
90,940
91,886
92,852
93,845
94,764
95,892
96,786
97,776
98,783
99,639
100,649
101,615
102,623
103,639
104,641
105,594
106,515
107,588
108,519
109,507
110,450
111,475
112,467
113,450
114,455
115,421
116,376
117,368
118,396
119,365
120,309
121,290
122,319
123,323
124,290
125,312
126,275
127,264
128,245
129,274
130,263
131,244
132,231
133,205
134,211
135,231
136,181
137,210
138,195
139,193
140,185
141,122
142,173
143,167
144,157
145,139
146,117
147,136
148,137
149,110
150,119
