date,hospitalisations
2023-01-01,1
2023-01-02,3
2023-01-03,19
2023-01-04,7
2023-01-05,12
2023-01-06,18
2023-01-07,3
2023-01-08,4
2023-01-09,5
2023-01-10,7
2023-01-11,8
2023-01-12,3
2023-01-13,6
2023-01-14,1
2023-01-15,1
2023-01-16,4
2023-01-17,6
2023-01-18,10
2023-01-19,2
2023-01-20,5
2023-01-21,4
2023-01-22,0
2023-01-23,6
2023-01-24,3
2023-01-25,5
2023-01-26,4
2023-01-27,5
2023-01-28,3
2023-01-29,4
2023-01-30,5
2023-01-31,6
2023-02-01,6
2023-02-02,7
2023-02-03,7
2023-02-04,2
2023-02-05,10
2023-02-06,3
2023-02-07,4
2023-02-08,6
2023-02-09,9
2023-02-10,7
2023-02-11,1
2023-02-12,2
2023-02-13,3
2023-02-14,8
2023-02-15,12
2023-02-16,3
2023-02-17,13
2023-02-18,3
2023-02-19,6
2023-02-20,13
2023-02-21,6
2023-02-22,10
2023-02-23,7
2023-02-24,16
2023-02-25,5
2023-02-26,1
2023-02-27,14
2023-02-28,20
2023-03-01,20
2023-03-02,18
2023-03-03,8
2023-03-04,6
2023-03-05,9
2023-03-06,12
2023-03-07,18
2023-03-08,12
2023-03-09,20
2023-03-10,16
2023-03-11,9
2023-03-12,4
2023-03-13,23
2023-03-14,6
2023-03-15,15
2023-03-16,9
2023-03-17,7
2023-03-18,12
2023-03-19,14
2023-03-20,20
2023-03-21,7
2023-03-22,21
2023-03-23,31
2023-03-24,14
2023-03-25,3
2023-03-26,12
2023-03-27,22
2023-03-28,7
2023-03-29,15
2023-03-30,43
2023-03-31,17
2023-04-01,4
2023-04-02,12
2023-04-03,14
2023-04-04,13
2023-04-05,23
2023-04-06,10
2023-04-07,18
2023-04-08,13
2023-04-09,3
2023-04-10,13
2023-04-11,17
2023-04-12,16
2023-04-13,8
2023-04-14,17
2023-04-15,9
2023-04-16,5
2023-04-17,40
2023-04-18,18
2023-04-19,23
2023-04-20,26
2023-04-21,31
2023-04-22,6
2023-04-23,17
2023-04-24,16
2023-04-25,11
2023-04-26,16
2023-04-27,25
2023-04-28,28
2023-04-29,16
2023-04-30,11
2023-05-01,12
2023-05-02,11
2023-05-03,22
2023-05-04,23
2023-05-05,26
2023-05-06,7
2023-05-07,8
2023-05-08,14
2023-05-09,16
2023-05-10,18
2023-05-11,7
2023-05-12,15
2023-05-13,5
2023-05-14,6
2023-05-15,13
2023-05-16,10
2023-05-17,10
2023-05-18,22
2023-05-19,33
2023-05-20,5
2023-05-21,9
2023-05-22,22
2023-05-23,7
2023-05-24,14
2023-05-25,13
2023-05-26,11
2023-05-27,8
2023-05-28,12
2023-05-29,14
2023-05-30,12
