day,I
1,82
2,108
3,100
4,74
5,86
6,75
7,69
8,92
9,86
10,86
11,90
12,80
13,82
14,65
15,88
16,62
17,80
18,73
19,85
20,73
21,96
22,63
23,84
24,84
25,73
26,97
27,96
28,87
29,84
30,104
31,121
32,100
33,112
34,119
35,124
36,161
37,168
38,130
39,162
40,151
41,139
42,227
43,242
44,196
45,207
46,254
47,244
48,324
49,286
50,297
51,319
52,362
53,355
54,395
55,443
56,421
57,472
58,487
59,436
60,429
61,565
62,527
63,593
64,625
65,614
66,620
67,605
68,662
69,673
70,748
71,712
72,714
73,706
74,772
75,728
76,828
77,789
78,701
79,791
80,756
81,850
82,796
83,743
84,808
85,834
86,740
87,746
88,701
89,716
90,718
91,772
92,670
93,678
94,646
95,546
96,669
97,589
98,542
99,524
100,508
101,478
102,551
103,468
104,470
105,419
106,435
107,423
108,442
109,406
110,399
111,358
112,334
113,380
114,374
115,363
116,311
117,274
118,285
119,287
120,272
121,209
122,246
123,237
124,221
125,222
126,221
127,224
128,181
129,211
130,179
131,197
132,146
133,172
134,149
135,156
136,164
137,133
138,128
139,147
140,128
141,134
142,119
143,106
144,95
145,90
146,112
147,96
148,81
149,71
150,63
