"scenario","condition","llm","run_id","tier2_attempted","tier2_success","tier2_timed_out","fixes_applied"
"scenario_1a","epiaware","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1a","epiaware","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1a","epiaware","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1a","epiaware","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1a","epiaware","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1a","pymc","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_1a","pymc","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_1a","pymc","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1a","pymc","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_1a","pymc","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1a","r","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'library(tidyr)'"
"scenario_1a","r","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1a","r","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'library(readr)'"
"scenario_1a","r","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1a","stan","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_1a","stan","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_1a","stan","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_1a","stan","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1a","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'library(readr)'"
"scenario_1a","stan","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1a","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1a","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1a","turing","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1a","turing","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1a","turing","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1b","epiaware","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1b","epiaware","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_1b","epiaware","claude-sonnet-4-20250514",3,TRUE,TRUE,FALSE,"Added 'using Dates'"
"scenario_1b","epiaware","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1b","epiaware","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_1b","epiaware","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1b","pymc","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_1b","pymc","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_1b","pymc","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_1b","pymc","llama3.1:8b",1,TRUE,FALSE,FALSE,"Fixed 'pymc3' -> 'pymc'"
"scenario_1b","pymc","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_1b","pymc","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1b","r","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_1b","r","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_1b","r","llama3.1:8b",1,TRUE,TRUE,FALSE,"Added 'library(readr)'"
"scenario_1b","r","llama3.1:8b",2,FALSE,FALSE,FALSE,""
"scenario_1b","r","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1b","stan","claude-sonnet-4-20250514",1,FALSE,FALSE,FALSE,""
"scenario_1b","stan","claude-sonnet-4-20250514",2,FALSE,FALSE,FALSE,""
"scenario_1b","stan","claude-sonnet-4-20250514",3,FALSE,FALSE,FALSE,""
"scenario_1b","stan","llama3.1:8b",1,FALSE,FALSE,FALSE,""
"scenario_1b","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,"Added 'library(magrittr)'"
"scenario_1b","stan","llama3.1:8b",3,FALSE,FALSE,FALSE,""
"scenario_1b","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,"Added 'using Dates'"
"scenario_1b","turing","claude-sonnet-4-20250514",2,TRUE,TRUE,FALSE,"Added 'using Dates'"
"scenario_1b","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,"Added 'using Dates'"
