day,I
1,80
2,84
3,83
4,88
5,82
6,102
7,72
8,88
9,83
10,76
11,71
12,59
13,61
14,69
15,59
16,48
17,58
18,62
19,51
20,52
21,44
22,58
23,52
24,49
25,54
26,43
27,59
28,59
29,66
30,55
31,37
32,44
33,46
34,30
35,50
36,62
37,54
38,63
39,61
40,57
41,79
42,71
43,75
44,92
45,80
46,119
47,118
48,134
49,139
50,155
51,159
52,154
53,195
54,203
55,235
56,217
57,229
58,265
59,285
60,289
61,291
62,294
63,338
64,384
65,398
66,441
67,435
68,396
69,497
70,526
71,513
72,561
73,579
74,588
75,632
76,602
77,638
78,616
79,591
80,601
81,650
82,629
83,633
84,660
85,652
86,666
87,672
88,665
89,664
90,717
91,692
92,651
93,625
94,605
95,622
96,615
97,600
98,577
99,533
100,486
101,545
102,452
103,435
104,442
105,413
106,415
107,421
108,389
109,369
110,355
111,307
112,299
113,289
114,290
115,257
116,268
117,258
118,219
119,199
120,203
121,189
122,159
123,172
124,163
125,165
126,137
127,156
128,153
129,160
130,131
131,135
132,104
133,115
134,102
135,88
136,94
137,69
138,83
139,84
140,68
141,81
142,73
143,59
144,72
145,66
146,76
147,66
148,57
149,61
150,49
