day,I
1,81
2,97
3,101
4,87
5,89
6,87
7,89
8,92
9,77
10,79
11,71
12,99
13,64
14,82
15,99
16,64
17,74
18,74
19,79
20,105
21,79
22,82
23,110
24,80
25,88
26,111
27,95
28,116
29,118
30,131
31,127
32,151
33,151
34,152
35,123
36,160
37,152
38,160
39,200
40,159
41,172
42,228
43,227
44,236
45,238
46,229
47,300
48,289
49,343
50,352
51,330
52,346
53,431
54,439
55,361
56,514
57,508
58,524
59,537
60,615
61,637
62,603
63,590
64,710
65,671
66,734
67,761
68,779
69,724
70,800
71,848
72,912
73,864
74,948
75,861
76,943
77,935
78,952
79,1039
80,937
81,995
82,974
83,945
84,1009
85,937
86,980
87,957
88,951
89,922
90,892
91,847
92,923
93,869
94,798
95,796
96,802
97,751
98,801
99,721
100,650
101,709
102,639
103,598
104,606
105,643
106,557
107,495
108,560
109,535
110,441
111,435
112,487
113,461
114,425
115,374
116,373
117,341
118,380
119,348
120,334
121,314
122,313
123,265
124,256
125,331
126,262
127,306
128,253
129,268
130,224
131,202
132,200
133,197
134,208
135,204
136,210
137,163
138,180
139,163
140,161
141,152
142,158
143,138
144,129
145,111
146,135
147,119
148,143
149,112
150,104
