gt,rep,day,Rt_lo,Rt_med,Rt_hi,rt_true
simulations,1,1,0.4599065363643092,1.0521787985964184,2.1547990508848844,0.8
simulations,1,2,0.5050363112181765,1.026222903478872,2.036645968036656,0.8142857142857143
simulations,1,3,0.5357584217095172,1.0376326653754382,1.8951637040894866,0.8285714285714286
simulations,1,4,0.5592326541342504,1.035857162577988,1.8126636326230365,0.8428571428571429
simulations,1,5,0.5658888185256036,1.0379320421048186,1.7692175579188474,0.8571428571428572
simulations,1,6,0.5988547053292962,1.0351364280481026,1.724353659865576,0.8714285714285714
simulations,1,7,0.619607549311477,1.0280341917417377,1.6822723568331157,0.8857142857142858
simulations,1,8,0.6397958061067994,1.022448653447503,1.6352125272223335,0.9
simulations,1,9,0.6580575127881088,1.0199911579110625,1.5667535777018036,0.9142857142857144
simulations,1,10,0.6648311373761572,1.0208205807188633,1.5383799274801064,0.9285714285714286
simulations,1,11,0.6828512917172809,1.02260935127482,1.5812193073875496,0.9428571428571428
simulations,1,12,0.7012869671514599,1.0236158892282297,1.557177645391769,0.9571428571428572
simulations,1,13,0.7166539938541079,1.0269835468532702,1.4940361730731944,0.9714285714285714
simulations,1,14,0.7163510056065433,1.0272746658740926,1.491637932946693,0.9857142857142858
simulations,1,15,0.7304194058566885,1.0290224163500366,1.4874627930194224,1.0
simulations,1,16,0.728516278818916,1.0287526185974767,1.479388579302075,1.0142857142857142
simulations,1,17,0.7477742294142965,1.0268051134598555,1.4415912162655609,1.0285714285714287
simulations,1,18,0.7238700479149343,1.0238575069121478,1.4144314501954705,1.042857142857143
simulations,1,19,0.7433581745100788,1.025634500965238,1.402942327986556,1.0571428571428572
simulations,1,20,0.7425783431235181,1.0271048585384013,1.4313971281444098,1.0714285714285714
simulations,1,21,0.7505683095125425,1.034972721434639,1.406202247847764,1.0857142857142859
simulations,1,22,0.7627761236289884,1.0260142659501068,1.3884783582852678,1.1
simulations,1,23,0.7688279480034496,1.0408741942687914,1.4117905504133843,1.1142857142857143
simulations,1,24,0.7621074144761004,1.0382448390090047,1.4178537087724112,1.1285714285714286
simulations,1,25,0.7590721907833138,1.046654085386292,1.4328275477090526,1.1428571428571428
simulations,1,26,0.7634295065785834,1.0460074345478592,1.4189362490438426,1.1571428571428573
simulations,1,27,0.7786469988670959,1.0524050964886746,1.3913786011613365,1.1714285714285715
simulations,1,28,0.7715411120427575,1.0603014092033414,1.3832459540898536,1.1857142857142857
simulations,1,29,0.7927787464439564,1.0691413759760602,1.399925514685434,1.2
simulations,1,30,0.825074302830842,1.0886844628876458,1.364342913286846,1.2142857142857142
simulations,1,31,0.8435438736377053,1.0928050212276212,1.3637653508057728,1.2285714285714286
