rep,rmse,coverage,width
1,0.10472827031193158,0.8712871287128713,0.3208910775502639
2,0.0789268843864292,1.0,0.3711809474234551
3,0.08937864967545535,1.0,0.36046605424433753
4,0.09291419960293057,1.0,0.3631465493620295
5,0.04723213298147061,1.0,0.34596205632691923
6,0.07920914482251663,1.0,0.3233506643906992
7,0.06265814892184787,1.0,0.34146864473192706
8,0.0593667833779865,1.0,0.3198032281880982
9,0.08528431847925008,1.0,0.3653952588306531
10,0.11140721761975017,0.9207920792079208,0.3780992205787907
11,0.09038077306454417,0.9603960396039604,0.35682020041949863
12,0.07107177447850715,1.0,0.33787939990257676
13,0.09070838732105546,0.9603960396039604,0.3290287691414831
14,0.09699847511264054,1.0,0.33712165163852703
15,0.08218200749417016,1.0,0.33465959034774434
16,0.06938763426270625,1.0,0.35828334389386557
17,0.07999337155995867,0.9504950495049505,0.3239084447978373
18,0.08665036876649047,1.0,0.3389860025790133
19,0.09800782465832786,0.9801980198019802,0.33746032135461473
20,0.09594474766470694,0.9900990099009901,0.36185355017057713
