day,I
1,78
2,96
3,106
4,107
5,83
6,98
7,86
8,93
9,76
10,75
11,89
12,72
13,58
14,76
15,73
16,77
17,68
18,66
19,82
20,83
21,68
22,69
23,74
24,65
25,73
26,97
27,81
28,87
29,72
30,90
31,67
32,94
33,107
34,91
35,99
36,102
37,116
38,93
39,101
40,138
41,112
42,140
43,136
44,151
45,153
46,156
47,183
48,179
49,190
50,214
51,233
52,262
53,248
54,307
55,326
56,325
57,337
58,387
59,415
60,426
61,475
62,514
63,536
64,566
65,583
66,617
67,675
68,683
69,769
70,753
71,826
72,802
73,876
74,945
75,917
76,980
77,967
78,1015
79,1037
80,1033
81,1061
82,1094
83,1086
84,1142
85,1212
86,1187
87,1134
88,1157
89,1127
90,1240
91,1214
92,1161
93,1056
94,1099
95,1102
96,1112
97,1050
98,1009
99,1032
100,968
101,892
102,960
103,885
104,855
105,774
106,775
107,691
108,737
109,652
110,620
111,593
112,611
113,581
114,528
115,523
116,502
117,492
118,476
119,419
120,393
121,403
122,397
123,381
124,343
125,353
126,305
127,368
128,294
129,296
130,296
131,249
132,259
133,238
134,222
135,233
136,238
137,210
138,200
139,214
140,161
141,172
142,183
143,167
144,153
145,134
146,147
147,137
148,148
149,122
150,117
