day,I
1,204
2,188
3,189
4,175
5,152
6,162
7,177
8,144
9,168
10,147
11,153
12,179
13,156
14,155
15,150
16,163
17,177
18,151
19,165
20,145
21,145
22,152
23,150
24,188
25,167
26,215
27,222
28,246
29,260
30,252
31,323
32,291
33,360
34,382
35,448
36,485
37,543
38,638
39,727
40,829
41,894
42,1072
43,1172
44,1310
45,1582
46,1732
47,2049
48,2342
49,2863
50,3177
51,3736
52,4464
53,5183
54,6047
55,7041
56,8287
57,9714
58,11255
59,12914
60,14769
61,16860
62,19421
63,21757
64,24493
65,27484
66,30635
67,34059
68,37700
69,41055
70,44539
71,48819
72,52710
73,56842
74,61308
75,65332
76,69736
77,73449
78,77680
79,81808
80,85022
81,87903
82,90714
83,93535
84,95465
85,97022
86,98070
87,98217
88,97726
89,97174
90,95453
91,93924
92,91668
93,88987
94,85614
95,82213
96,77741
97,74121
98,69660
99,64857
100,60313
101,55618
102,50873
103,47069
104,43117
105,39222
106,35837
107,33129
108,30074
109,27775
110,25591
111,23335
112,21353
113,19873
114,18101
115,16572
116,15238
117,13835
118,12790
119,11596
120,10474
121,9602
122,8852
123,8137
124,7521
125,6704
126,6150
127,5688
128,5138
129,4707
130,4335
131,3919
132,3672
133,3446
134,3099
135,2913
136,2602
137,2350
138,2113
139,1921
140,1735
141,1715
142,1463
143,1422
144,1284
145,1164
146,1040
147,929
148,869
149,769
150,772
