day,I
1,114
2,93
3,112
4,112
5,110
6,82
7,74
8,93
9,121
10,93
11,94
12,83
13,86
14,102
15,100
16,92
17,116
18,105
19,97
20,108
21,111
22,132
23,128
24,102
25,124
26,130
27,134
28,138
29,153
30,137
31,160
32,157
33,205
34,164
35,175
36,202
37,207
38,251
39,214
40,254
41,259
42,273
43,298
44,334
45,334
46,352
47,372
48,407
49,466
50,448
51,504
52,502
53,536
54,578
55,634
56,668
57,665
58,674
59,741
60,733
61,861
62,828
63,854
64,906
65,970
66,947
67,976
68,1067
69,1036
70,1085
71,1104
72,1143
73,1196
74,1199
75,1180
76,1176
77,1277
78,1226
79,1243
80,1289
81,1199
82,1267
83,1272
84,1209
85,1317
86,1267
87,1243
88,1168
89,1242
90,1125
91,1156
92,1146
93,1130
94,1117
95,998
96,971
97,938
98,979
99,883
100,873
101,879
102,794
103,766
104,792
105,710
106,780
107,716
108,697
109,683
110,663
111,642
112,637
113,567
114,577
115,557
116,514
117,524
118,544
119,471
120,460
121,435
122,508
123,405
124,393
125,351
126,409
127,383
128,368
129,341
130,335
131,316
132,305
133,312
134,268
135,284
136,276
137,254
138,261
139,226
140,239
141,227
142,235
143,234
144,211
145,207
146,204
147,166
148,198
149,180
150,143
