day,I
1,120
2,74
3,92
4,97
5,89
6,106
7,96
8,102
9,91
10,68
11,84
12,97
13,123
14,115
15,86
16,82
17,102
18,95
19,110
20,113
21,116
22,91
23,121
24,132
25,152
26,128
27,135
28,125
29,153
30,145
31,207
32,175
33,187
34,191
35,183
36,208
37,196
38,266
39,293
40,234
41,274
42,323
43,323
44,363
45,373
46,370
47,481
48,462
49,490
50,501
51,529
52,539
53,681
54,711
55,683
56,719
57,791
58,832
59,867
60,844
61,954
62,997
63,973
64,1089
65,1034
66,1160
67,1133
68,1151
69,1396
70,1220
71,1298
72,1279
73,1255
74,1462
75,1399
76,1400
77,1455
78,1460
79,1446
80,1342
81,1426
82,1403
83,1456
84,1456
85,1469
86,1386
87,1483
88,1378
89,1386
90,1423
91,1342
92,1415
93,1375
94,1182
95,1190
96,1135
97,1183
98,1144
99,1049
100,1071
101,1005
102,942
103,979
104,973
105,912
106,824
107,824
108,776
109,799
110,713
111,675
112,738
113,700
114,690
115,641
116,656
117,643
118,579
119,514
120,534
121,533
122,517
123,528
124,490
125,484
126,423
127,443
128,424
129,439
130,414
131,392
132,377
133,355
134,356
135,368
136,313
137,352
138,296
139,338
140,237
141,257
142,251
143,233
144,283
145,248
146,237
147,210
148,206
149,221
150,219
