"scenario","condition","llm","run_id","code_extracted","tier1_success","tier1_timed_out","tier1_duration"
"1a","epiaware","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,17.4357538223267
"1a","epiaware","claude-sonnet-4-20250514",2,TRUE,TRUE,FALSE,7.81806421279907
"1a","epiaware","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,21.8414299488068
"1a","epiaware","llama3.1:8b",1,TRUE,FALSE,FALSE,7.92091107368469
"1a","epiaware","llama3.1:8b",2,TRUE,FALSE,FALSE,7.91674017906189
"1a","epiaware","llama3.1:8b",3,TRUE,FALSE,FALSE,1.70793533325195
"1a","pymc","claude-sonnet-4-20250514",1,TRUE,TRUE,FALSE,1.30795526504517
"1a","pymc","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.40573191642761
"1a","pymc","claude-sonnet-4-20250514",3,TRUE,FALSE,TRUE,600.111906766891
"1a","pymc","llama3.1:8b",1,TRUE,FALSE,FALSE,1.30584812164307
"1a","pymc","llama3.1:8b",2,TRUE,FALSE,FALSE,1.30665636062622
"1a","pymc","llama3.1:8b",3,TRUE,FALSE,FALSE,1.30655455589294
"1a","r","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,2.1081862449646
"1a","r","claude-sonnet-4-20250514",2,TRUE,TRUE,FALSE,1.51057147979736
"1a","r","claude-sonnet-4-20250514",3,TRUE,TRUE,FALSE,2.51218605041504
"1a","r","llama3.1:8b",1,TRUE,FALSE,FALSE,22.9942710399628
"1a","r","llama3.1:8b",2,TRUE,FALSE,FALSE,20.1384842395782
"1a","r","llama3.1:8b",3,TRUE,FALSE,FALSE,29.4460253715515
"1a","stan","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,1.405606508255
"1a","stan","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.20657515525818
"1a","stan","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,1.10949397087097
"1a","stan","llama3.1:8b",1,TRUE,FALSE,FALSE,0.807668209075928
"1a","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,1.00741314888
"1a","stan","llama3.1:8b",3,TRUE,FALSE,FALSE,1.50706386566162
"1a","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,9.61572098731995
"1a","turing","claude-sonnet-4-20250514",2,TRUE,TRUE,FALSE,7.41759610176086
"1a","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,15.2228434085846
"1a","turing","llama3.1:8b",1,TRUE,FALSE,FALSE,11.6106057167053
"1a","turing","llama3.1:8b",2,TRUE,FALSE,FALSE,4.01316070556641
"1a","turing","llama3.1:8b",3,TRUE,FALSE,FALSE,4.90542364120483
"1b","epiaware","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,20.1306939125061
"1b","epiaware","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,20.0296273231506
"1b","epiaware","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,20.2351076602936
"1b","epiaware","llama3.1:8b",1,TRUE,FALSE,FALSE,8.91831278800964
"1b","epiaware","llama3.1:8b",2,TRUE,FALSE,FALSE,12.5259804725647
"1b","epiaware","llama3.1:8b",3,TRUE,FALSE,FALSE,7.81872344017029
"1b","pymc","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,3.81136155128479
"1b","pymc","claude-sonnet-4-20250514",2,TRUE,FALSE,TRUE,600.120555639267
"1b","pymc","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,1.60690212249756
"1b","pymc","llama3.1:8b",1,TRUE,FALSE,FALSE,0.307343006134033
"1b","pymc","llama3.1:8b",2,TRUE,FALSE,FALSE,1.30892825126648
"1b","pymc","llama3.1:8b",3,TRUE,FALSE,FALSE,1.50621509552002
"1b","r","claude-sonnet-4-20250514",1,TRUE,FALSE,TRUE,600.124822378159
"1b","r","claude-sonnet-4-20250514",2,TRUE,FALSE,TRUE,600.058537006378
"1b","r","claude-sonnet-4-20250514",3,TRUE,TRUE,FALSE,81.8993544578552
"1b","r","llama3.1:8b",1,TRUE,FALSE,FALSE,23.3351459503174
"1b","r","llama3.1:8b",2,TRUE,FALSE,FALSE,0.91114616394043
"1b","r","llama3.1:8b",3,TRUE,FALSE,FALSE,1.10672402381897
"1b","stan","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,2.01069855690002
"1b","stan","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,1.70996856689453
"1b","stan","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,1.71241044998169
"1b","stan","llama3.1:8b",1,TRUE,FALSE,FALSE,0.806377172470093
"1b","stan","llama3.1:8b",2,TRUE,FALSE,FALSE,1.10945272445679
"1b","stan","llama3.1:8b",3,TRUE,FALSE,FALSE,1.40769076347351
"1b","turing","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,23.1365494728088
"1b","turing","claude-sonnet-4-20250514",2,TRUE,FALSE,FALSE,14.9362497329712
"1b","turing","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,22.7454805374146
"1b","turing","llama3.1:8b",1,TRUE,FALSE,FALSE,10.8167905807495
"1b","turing","llama3.1:8b",2,TRUE,FALSE,FALSE,3.11122274398804
"1b","turing","llama3.1:8b",3,TRUE,FALSE,FALSE,5.41179633140564
"2","epiaware","claude-sonnet-4-20250514",1,TRUE,TRUE,FALSE,9.0218825340271
"2","epiaware","claude-sonnet-4-20250514",2,TRUE,TRUE,FALSE,8.81825065612793
"2","epiaware","claude-sonnet-4-20250514",3,TRUE,FALSE,FALSE,17.6172451972961
"2","epiaware","llama3.1:8b",1,TRUE,FALSE,FALSE,7.81596922874451
"2","epiaware","llama3.1:8b",2,TRUE,FALSE,FALSE,8.81495761871338
"2","epiaware","llama3.1:8b",3,TRUE,FALSE,FALSE,8.81672072410583
"2","pymc","claude-sonnet-4-20250514",1,TRUE,FALSE,FALSE,1.30877256393433
