day,I
1,110
2,69
3,111
4,95
5,83
6,110
7,91
8,89
9,77
10,98
11,83
12,69
13,63
14,85
15,121
16,90
17,75
18,91
19,98
20,81
21,78
22,107
23,112
24,106
25,139
26,93
27,98
28,107
29,127
30,100
31,150
32,168
33,122
34,140
35,128
36,170
37,156
38,162
39,219
40,166
41,195
42,204
43,231
44,198
45,292
46,265
47,319
48,268
49,324
50,362
51,344
52,407
53,424
54,491
55,573
56,493
57,548
58,498
59,670
60,754
61,760
62,708
63,895
64,815
65,931
66,1002
67,1053
68,1106
69,1360
70,1250
71,1309
72,1449
73,1638
74,1626
75,1348
76,1069
77,701
78,769
79,734
80,709
81,625
82,520
83,477
84,435
85,375
86,338
87,332
88,310
89,235
90,218
91,197
92,211
93,183
94,181
95,137
96,120
97,111
98,129
99,98
100,91
101,82
102,92
103,66
104,56
105,56
106,59
107,39
108,38
109,41
110,42
111,49
112,26
113,31
114,17
115,30
116,32
117,20
118,11
119,20
120,11
121,8
122,12
123,9
124,9
125,8
126,9
127,5
128,4
129,4
130,1
131,4
132,2
133,5
134,1
135,4
136,2
137,2
138,4
139,0
140,4
141,4
142,2
143,2
144,0
145,5
146,4
147,0
148,0
149,0
150,1
