day,I
1,65
2,58
3,57
4,60
5,55
6,65
7,60
8,38
9,37
10,46
11,40
12,48
13,42
14,31
15,36
16,27
17,33
18,38
19,33
20,41
21,38
22,28
23,35
24,29
25,30
26,28
27,30
28,27
29,25
30,22
31,27
32,29
33,36
34,26
35,31
36,31
37,35
38,42
39,40
40,38
41,34
42,47
43,42
44,49
45,50
46,54
47,52
48,66
49,61
50,89
51,76
52,92
53,84
54,117
55,116
56,127
57,123
58,144
59,156
60,167
61,184
62,212
63,242
64,223
65,250
66,259
67,268
68,289
69,341
70,379
71,344
72,358
73,416
74,392
75,393
76,430
77,431
78,428
79,460
80,473
81,444
82,497
83,474
84,478
85,500
86,482
87,483
88,495
89,499
90,509
91,494
92,512
93,475
94,480
95,500
96,453
97,435
98,430
99,391
100,408
101,410
102,345
103,330
104,317
105,309
106,311
107,303
108,286
109,245
110,250
111,228
112,224
113,207
114,189
115,217
116,169
117,165
118,160
119,142
120,164
121,157
122,112
123,142
124,130
125,118
126,146
127,127
128,112
129,107
130,103
131,112
132,113
133,110
134,106
135,93
136,93
137,106
138,73
139,70
140,91
141,84
142,62
143,72
144,85
145,74
146,66
147,69
148,68
149,63
150,61
