day,I
1,89
2,107
3,72
4,111
5,88
6,69
7,118
8,91
9,87
10,78
11,77
12,96
13,96
14,63
15,79
16,86
17,87
18,73
19,95
20,98
21,89
22,65
23,73
24,97
25,90
26,92
27,117
28,112
29,110
30,133
31,123
32,143
33,124
34,167
35,147
36,170
37,178
38,137
39,188
40,213
41,150
42,211
43,234
44,256
45,289
46,263
47,289
48,291
49,372
50,410
51,354
52,387
53,402
54,461
55,442
56,492
57,567
58,503
59,544
60,696
61,595
62,675
63,686
64,671
65,650
66,784
67,837
68,866
69,806
70,816
71,790
72,883
73,964
74,941
75,927
76,934
77,1017
78,932
79,1011
80,1017
81,1008
82,1027
83,914
84,967
85,975
86,982
87,991
88,953
89,962
90,1006
91,844
92,799
93,890
94,884
95,788
96,856
97,719
98,687
99,740
100,727
101,713
102,717
103,623
104,659
105,562
106,577
107,527
108,503
109,509
110,462
111,512
112,443
113,445
114,379
115,436
116,410
117,387
118,316
119,385
120,344
121,339
122,337
123,268
124,269
125,323
126,269
127,263
128,250
129,208
130,200
131,200
132,224
133,221
134,225
135,176
136,166
137,209
138,145
139,172
140,151
141,182
142,155
143,153
144,121
145,126
146,153
147,120
148,119
149,125
150,113
