date,deaths
2023-01-01,2
2023-01-02,5
2023-01-03,5
2023-01-04,5
2023-01-05,4
2023-01-06,5
2023-01-07,1
2023-01-08,2
2023-01-09,2
2023-01-10,3
2023-01-11,3
2023-01-12,1
2023-01-13,5
2023-01-14,1
2023-01-15,1
2023-01-16,3
2023-01-17,3
2023-01-18,2
2023-01-19,2
2023-01-20,1
2023-01-21,0
2023-01-22,0
2023-01-23,1
2023-01-24,1
2023-01-25,0
2023-01-26,1
2023-01-27,0
2023-01-28,0
2023-01-29,0
2023-01-30,0
2023-01-31,3
2023-02-01,0
2023-02-02,3
2023-02-03,2
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,1
2023-02-08,2
2023-02-09,0
2023-02-10,1
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,0
2023-02-17,1
2023-02-18,1
2023-02-19,0
2023-02-20,4
2023-02-21,1
2023-02-22,1
2023-02-23,2
2023-02-24,3
2023-02-25,1
2023-02-26,0
2023-02-27,2
2023-02-28,2
2023-03-01,1
2023-03-02,3
2023-03-03,5
2023-03-04,4
2023-03-05,4
2023-03-06,2
2023-03-07,3
2023-03-08,5
2023-03-09,4
2023-03-10,11
2023-03-11,0
2023-03-12,2
2023-03-13,16
2023-03-14,8
2023-03-15,10
2023-03-16,12
2023-03-17,10
2023-03-18,8
2023-03-19,8
2023-03-20,18
2023-03-21,18
2023-03-22,15
2023-03-23,18
2023-03-24,26
2023-03-25,10
2023-03-26,11
2023-03-27,27
2023-03-28,25
2023-03-29,16
2023-03-30,20
2023-03-31,18
2023-04-01,11
2023-04-02,18
2023-04-03,32
2023-04-04,37
2023-04-05,28
2023-04-06,32
2023-04-07,34
2023-04-08,18
2023-04-09,16
2023-04-10,26
2023-04-11,24
2023-04-12,34
2023-04-13,35
2023-04-14,36
2023-04-15,16
2023-04-16,14
2023-04-17,22
2023-04-18,35
2023-04-19,36
2023-04-20,32
2023-04-21,31
2023-04-22,14
2023-04-23,15
2023-04-24,30
2023-04-25,19
2023-04-26,20
2023-04-27,18
2023-04-28,26
2023-04-29,14
2023-04-30,4
2023-05-01,15
2023-05-02,12
2023-05-03,15
2023-05-04,17
2023-05-05,16
2023-05-06,6
2023-05-07,4
2023-05-08,14
2023-05-09,11
2023-05-10,6
2023-05-11,3
2023-05-12,7
2023-05-13,5
2023-05-14,7
2023-05-15,9
2023-05-16,9
2023-05-17,6
2023-05-18,7
2023-05-19,10
2023-05-20,1
2023-05-21,4
2023-05-22,5
2023-05-23,2
2023-05-24,8
2023-05-25,7
2023-05-26,4
2023-05-27,2
2023-05-28,3
2023-05-29,1
2023-05-30,3
