day,I
1,72
2,74
3,71
4,81
5,78
6,78
7,66
8,68
9,45
10,57
11,70
12,62
13,44
14,59
15,55
16,51
17,53
18,49
19,46
20,52
21,75
22,64
23,56
24,58
25,67
26,77
27,58
28,57
29,67
30,75
31,60
32,73
33,80
34,93
35,98
36,89
37,97
38,82
39,99
40,120
41,141
42,141
43,119
44,144
45,156
46,174
47,159
48,183
49,191
50,205
51,220
52,236
53,253
54,317
55,304
56,313
57,338
58,348
59,371
60,425
61,440
62,437
63,477
64,514
65,600
66,550
67,622
68,619
69,730
70,701
71,711
72,823
73,775
74,801
75,892
76,942
77,957
78,956
79,1034
80,1061
81,1044
82,1084
83,1038
84,1102
85,1078
86,1103
87,1071
88,1082
89,1076
90,1101
91,1104
92,1125
93,1080
94,1026
95,961
96,987
97,985
98,954
99,951
100,928
101,821
102,814
103,824
104,778
105,699
106,701
107,655
108,649
109,594
110,607
111,573
112,587
113,522
114,535
115,527
116,496
117,460
118,440
119,458
120,420
121,392
122,379
123,371
124,392
125,363
126,337
127,295
128,333
129,329
130,276
131,274
132,267
133,280
134,286
135,248
136,224
137,214
138,201
139,231
140,210
141,206
142,170
143,182
144,162
145,160
146,173
147,151
148,140
149,117
150,125
