scenario,condition,n,median_rmse,iqr_rmse,median_coverage,iqr_coverage
scenario_1a,epiaware,12,0.12843813058577042,0.09649363962667785,0.5148514851485149,0.49504950495049493
scenario_1a,julia,12,0.16719430376367606,0.23930102448495916,0.4158415841584158,0.45544554455445546
scenario_1a,no-spec,11,0.1031127158410386,0.03693668118995164,0.27722772277227725,0.44059405940594054
scenario_1b,epiaware,13,0.10940549603940095,0.16933495147773675,0.5544554455445545,0.2574257425742574
scenario_1b,julia,12,0.20435662395685564,0.1390248506034742,0.5742574257425742,0.504950495049505
scenario_1b,no-spec,11,0.1047210159030394,0.08503843194314013,0.43564356435643564,0.4356435643564356
scenario_2,epiaware,12,0.10798249821537967,0.017498984354345562,0.5693069306930694,0.21039603960396042
scenario_2,julia,12,0.21881272134796698,0.18417342765029948,0.7128712871287128,0.4702970297029703
scenario_2,no-spec,11,0.10426605754964259,0.08767694882816521,0.7128712871287128,0.20297029702970304
scenario_3,epiaware,14,0.15033900719089835,0.16962777091084233,0.5643564356435644,0.6287128712871288
scenario_3,julia,12,0.1751674033855405,0.2892492982348482,0.47029702970297027,0.3292079207920793
scenario_3,no-spec,11,0.14225463725731438,0.031506561533723526,0.8910891089108911,0.2722772277227723
