scenario,condition,variant,n,median_rmse,iqr_rmse,median_coverage
scenario_1a,epiaware,abrupt_change,3,0.20387606488406348,0.0066997502675574805,0.6237623762376238
scenario_1a,epiaware,extreme_dispersion,3,0.07004716736236624,0.027930684327642785,0.7425742574257426
scenario_1a,epiaware,long_delay,3,0.14223293242449153,0.0033612546608228766,0.594059405940594
scenario_1a,epiaware,short_gi,3,0.3334674263991752,0.0317528825400335,0.22772277227722773
scenario_1a,julia,abrupt_change,3,0.21261332515709636,0.03394351191687578,0.27722772277227725
scenario_1a,julia,extreme_dispersion,3,0.0692874178264724,0.02609461262339849,0.9207920792079208
scenario_1a,julia,long_delay,3,0.1899618551776412,0.03965752378833992,0.8712871287128713
scenario_1a,julia,short_gi,3,0.3287432705993858,0.06987129230473205,0.19801980198019803
scenario_1a,no-spec,abrupt_change,3,0.1831671762307041,1.309164858812606e-4,0.3465346534653465
scenario_1a,no-spec,extreme_dispersion,3,0.05351572316687937,0.006864354168582269,0.3069306930693069
scenario_1a,no-spec,long_delay,3,0.1375362105531423,1.2579129348028184e-4,0.32673267326732675
scenario_1a,no-spec,short_gi,3,0.3327672171619726,0.1631684836496764,0.04950495049504951
scenario_1b,epiaware,abrupt_change,3,0.1941988769769685,0,0.49504950495049505
scenario_1b,epiaware,extreme_dispersion,3,NA,NA,NA
scenario_1b,epiaware,long_delay,3,NA,NA,NA
scenario_1b,epiaware,short_gi,3,NA,NA,NA
scenario_1b,julia,abrupt_change,3,NA,NA,NA
scenario_1b,julia,extreme_dispersion,3,NA,NA,NA
scenario_1b,julia,long_delay,3,NA,NA,NA
scenario_1b,julia,short_gi,1,NA,NA,NA
scenario_1b,no-spec,abrupt_change,3,0.1835675680522452,3.793686312803246e-4,0.594059405940594
scenario_1b,no-spec,extreme_dispersion,3,0.05345964993814101,0.011357575670783701,0.3069306930693069
scenario_1b,no-spec,long_delay,3,0.13732496164665225,2.310267642050834e-4,0.32673267326732675
scenario_1b,no-spec,short_gi,3,0.3326366695909835,0.08102382000244718,0.15841584158415842
scenario_2,epiaware,abrupt_change,3,0.20024780170828435,0.03146909528452074,0.6831683168316832
scenario_2,epiaware,extreme_dispersion,3,0.07106118189080475,0.008996890732191648,0.6039603960396039
scenario_2,epiaware,long_delay,3,0.14078985745584394,0.001877321949499161,0.4158415841584158
scenario_2,epiaware,short_gi,3,0.3174964222330477,0.008388277864933125,0.0891089108910891
scenario_2,julia,abrupt_change,3,0.22465674242772798,0.04150431395568205,0.3465346534653465
scenario_2,julia,extreme_dispersion,3,0.11499194299859604,0.050943261383995214,0.8712871287128713
scenario_2,julia,long_delay,3,0.18518298798885285,0.04500090279898278,0.1188118811881188
scenario_2,julia,short_gi,3,0.40827024219463176,0.03602263586238158,0.22772277227722773
scenario_2,no-spec,abrupt_change,3,0.17730089508906496,0.025609384729863682,0.6138613861386139
scenario_2,no-spec,extreme_dispersion,3,0.07112530639143769,0.009945814007717477,0.8910891089108911
scenario_2,no-spec,long_delay,3,0.14578657097613987,0.010060080607176947,0.7029702970297029
scenario_2,no-spec,short_gi,3,0.47759425918569176,0.13323651998546665,0.16831683168316833
scenario_3,epiaware,abrupt_change,3,0.19164557597539317,0.03640731069040462,0.2871287128712871
scenario_3,epiaware,extreme_dispersion,3,0.08465060010167552,0.027704704705458452,0.46534653465346537
scenario_3,epiaware,long_delay,3,0.14228823409776992,0.01327535016551426,0.19801980198019803
scenario_3,epiaware,short_gi,3,0.2640494463583247,0.0405619771774996,0.13861386138613863
scenario_3,julia,abrupt_change,3,0.19598533765050494,0.1493164697124048,0.1485148514851485
scenario_3,julia,extreme_dispersion,3,0.09467724359688633,0.02642034234470929,0.13861386138613863
scenario_3,julia,long_delay,3,0.13767811961932028,0.01874072027062834,0.4752475247524752
scenario_3,julia,short_gi,3,0.3780583476692554,0.0479040968211622,0.07920792079207921
scenario_3,no-spec,abrupt_change,3,0.20059875636564756,0.02392209124808381,0.36633663366336633
scenario_3,no-spec,extreme_dispersion,3,0.08789227045823941,0.03133951588157696,0.7623762376237624
scenario_3,no-spec,long_delay,3,0.13934706024074978,0.00457195224047291,0.6534653465346535
scenario_3,no-spec,short_gi,3,0.2738119065371443,0.06478224504477345,0.2079207920792079
