scenario,condition,flag_poisson_only,flag_no_smoothing_term,flag_no_delay_handling,flag_no_censoring,flag_no_truncation,flag_no_dow,flag_no_ascertainment,flag_naive_density_at_integers,flag_normal_observation,flag_no_uncertainty,flag_negative_rt,flag_no_multistream_latent
scenario_1a,epiaware,0,0,0,0.75,0.3333333333333333,0.4166666666666667,0.75,0.08333333333333333,0,0,0,NA
scenario_1a,julia,0.16666666666666666,0.08333333333333333,0,0.5,0.16666666666666666,0.16666666666666666,1,0.25,0,0,0,NA
scenario_1a,no-spec,0.09090909090909091,0.5454545454545454,0.18181818181818182,1,0.9090909090909091,0.9090909090909091,1,0,0,0,0,NA
scenario_1b,epiaware,0,0,0,0.5384615384615384,0.3076923076923077,0.3076923076923077,0.8461538461538461,0,0,0,0,NA
scenario_1b,julia,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.4,0.5,0.25,1,0.08333333333333333,0.08333333333333333,0,0,NA
scenario_1b,no-spec,0.18181818181818182,0.5454545454545454,0.09090909090909091,1,0.6363636363636364,0.7272727272727273,1,0,0,0,0,NA
scenario_2,epiaware,0,0.08333333333333333,0.16666666666666666,0.6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0,0,0,NA
scenario_2,julia,0.08333333333333333,0.08333333333333333,0,0.4166666666666667,0.4166666666666667,0,0,0.16666666666666666,0,0,0,NA
scenario_2,no-spec,0,0.2727272727272727,0,1,0.9090909090909091,0,0.09090909090909091,0,0,0,0,NA
scenario_3,epiaware,0,0,0,0.6428571428571429,0.07142857142857142,0.21428571428571427,0,0,0,0,0,0
scenario_3,julia,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.08333333333333333,0,0.16666666666666666,0.08333333333333333,0,0,0,0.9166666666666666
scenario_3,no-spec,0,0.18181818181818182,0,1,0.7272727272727273,0,0.09090909090909091,0,0,0,0,0.6363636363636364
