day,I
1,147
2,125
3,110
4,112
5,83
6,88
7,82
8,61
9,62
10,67
11,66
12,62
13,54
14,50
15,62
16,49
17,54
18,53
19,53
20,64
21,57
22,62
23,58
24,71
25,49
26,61
27,66
28,56
29,80
30,76
31,86
32,89
33,105
34,132
35,129
36,159
37,172
38,186
39,210
40,236
41,248
42,289
43,338
44,359
45,423
46,498
47,586
48,668
49,761
50,920
51,1051
52,1308
53,1515
54,1776
55,2042
56,2357
57,2682
58,3187
59,3575
60,4136
61,4798
62,5458
63,6224
64,6815
65,7934
66,8681
67,9667
68,10650
69,11855
70,12792
71,13775
72,15229
73,16325
74,17605
75,18790
76,20172
77,21453
78,22216
79,23284
80,24237
81,25116
82,25841
83,26236
84,26822
85,27339
86,27486
87,27888
88,27872
89,27834
90,27176
91,26791
92,26021
93,25426
94,24156
95,23345
96,22548
97,21132
98,20031
99,18596
100,17489
101,15889
102,14521
103,13283
104,12241
105,11215
106,10274
107,9211
108,8580
109,7915
110,7138
111,6427
112,6018
113,5566
114,4993
115,4744
116,4292
117,3891
118,3627
119,3328
120,3137
121,2844
122,2596
123,2409
124,2133
125,1968
126,1794
127,1688
128,1578
129,1365
130,1279
131,1149
132,1043
133,972
134,903
135,877
136,731
137,658
138,661
139,595
140,496
141,447
142,436
143,390
144,384
145,333
146,270
147,262
148,222
149,242
150,193
