day,I
1,92
2,115
3,101
4,110
5,82
6,81
7,94
8,83
9,106
10,93
11,87
12,95
13,93
14,94
15,97
16,97
17,91
18,99
19,79
20,120
21,100
22,89
23,121
24,114
25,109
26,132
27,130
28,119
29,108
30,121
31,149
32,143
33,152
34,160
35,163
36,179
37,195
38,176
39,235
40,221
41,234
42,238
43,252
44,328
45,311
46,308
47,353
48,359
49,401
50,390
51,453
52,511
53,469
54,503
55,500
56,571
57,614
58,573
59,646
60,657
61,698
62,711
63,750
64,792
65,786
66,794
67,794
68,915
69,888
70,900
71,897
72,981
73,962
74,982
75,977
76,984
77,1000
78,1042
79,1077
80,1046
81,1038
82,1093
83,1071
84,1055
85,1053
86,968
87,1096
88,1007
89,1036
90,1030
91,954
92,998
93,866
94,850
95,926
96,839
97,816
98,768
99,744
100,717
101,664
102,721
103,670
104,619
105,616
106,580
107,541
108,576
109,527
110,507
111,519
112,473
113,484
114,433
115,413
116,426
117,431
118,395
119,391
120,354
121,376
122,338
123,318
124,319
125,331
126,309
127,302
128,294
129,272
130,253
131,236
132,244
133,254
134,237
135,232
136,218
137,205
138,195
139,210
140,187
141,188
142,162
143,196
144,168
145,163
146,150
147,150
148,144
149,154
150,140
