day,I
1,107
2,82
3,103
4,92
5,120
6,75
7,92
8,83
9,87
10,100
11,81
12,96
13,93
14,86
15,100
16,102
17,125
18,97
19,95
20,112
21,102
22,103
23,92
24,118
25,130
26,116
27,138
28,122
29,129
30,158
31,122
32,163
33,150
34,151
35,182
36,127
37,187
38,232
39,258
40,240
41,192
42,236
43,295
44,268
45,305
46,296
47,405
48,360
49,414
50,385
51,476
52,532
53,474
54,600
55,541
56,614
57,615
58,674
59,715
60,678
61,714
62,742
63,834
64,803
65,939
66,916
67,857
68,939
69,1015
70,955
71,951
72,1000
73,1016
74,1000
75,1073
76,1003
77,1162
78,1140
79,1190
80,1133
81,1051
82,1164
83,1074
84,1190
85,1127
86,1238
87,1078
88,1029
89,1110
90,1021
91,1035
92,979
93,1005
94,981
95,901
96,960
97,861
98,887
99,806
100,755
101,764
102,752
103,660
104,657
105,672
106,642
107,607
108,592
109,576
110,588
111,558
112,525
113,550
114,502
115,457
116,501
117,456
118,407
119,403
120,414
121,357
122,397
123,334
124,320
125,323
126,283
127,300
128,320
129,300
130,281
131,271
132,201
133,228
134,240
135,207
136,196
137,206
138,187
139,189
140,168
141,149
142,188
143,151
144,131
145,145
146,141
147,129
148,121
149,121
150,140
