day,I
1,82
2,73
3,83
4,84
5,66
6,64
7,56
8,67
9,63
10,69
11,72
12,48
13,76
14,43
15,77
16,73
17,59
18,70
19,86
20,82
21,90
22,92
23,112
24,93
25,91
26,110
27,98
28,108
29,88
30,101
31,111
32,103
33,82
34,107
35,100
36,130
37,127
38,119
39,118
40,131
41,134
42,131
43,157
44,176
45,155
46,174
47,177
48,205
49,206
50,264
51,279
52,311
53,339
54,350
55,334
56,401
57,414
58,430
59,454
60,530
61,580
62,588
63,612
64,682
65,707
66,735
67,737
68,843
69,845
70,959
71,935
72,1044
73,1053
74,1118
75,1193
76,1219
77,1253
78,1382
79,1250
80,1338
81,1358
82,1437
83,1371
84,1359
85,1326
86,1358
87,1356
88,1348
89,1376
90,1462
91,1473
92,1339
93,1370
94,1398
95,1335
96,1311
97,1207
98,1167
99,1161
100,1177
101,1185
102,1099
103,1006
104,986
105,1007
106,890
107,906
108,862
109,841
110,799
111,799
112,740
113,663
114,682
115,666
116,601
117,630
118,596
119,609
120,555
121,517
122,523
123,520
124,464
125,456
126,431
127,412
128,413
129,374
130,353
131,384
132,372
133,306
134,299
135,311
136,253
137,252
138,222
139,212
140,182
141,184
142,191
143,156
144,182
145,157
146,153
147,154
148,151
149,171
150,147
