day,I
1,59
2,77
3,71
4,77
5,71
6,61
7,62
8,77
9,66
10,62
11,41
12,52
13,49
14,44
15,52
16,44
17,42
18,46
19,40
20,39
21,51
22,46
23,55
24,45
25,68
26,46
27,60
28,56
29,55
30,70
31,70
32,59
33,65
34,62
35,71
36,71
37,59
38,89
39,56
40,47
41,70
42,61
43,52
44,79
45,86
46,75
47,79
48,82
49,85
50,91
51,79
52,86
53,106
54,116
55,147
56,160
57,143
58,155
59,162
60,184
61,192
62,198
63,253
64,254
65,280
66,297
67,298
68,290
69,307
70,296
71,369
72,377
73,362
74,409
75,390
76,418
77,462
78,439
79,450
80,461
81,494
82,541
83,543
84,518
85,534
86,501
87,519
88,552
89,571
90,520
91,532
92,553
93,570
94,588
95,542
96,463
97,476
98,446
99,472
100,443
101,432
102,423
103,395
104,371
105,381
106,354
107,364
108,317
109,353
110,309
111,325
112,307
113,280
114,255
115,240
116,233
117,221
118,210
119,199
120,203
121,164
122,157
123,154
124,163
125,131
126,140
127,126
128,131
129,110
130,118
131,103
132,118
133,114
134,103
135,85
136,99
137,109
138,75
139,93
140,98
141,72
142,75
143,66
144,60
145,61
146,72
147,57
148,52
149,39
150,33
