day,I
1,132
2,131
3,124
4,118
5,109
6,88
7,92
8,99
9,103
10,95
11,101
12,96
13,85
14,88
15,78
16,76
17,88
18,91
19,87
20,97
21,84
22,85
23,96
24,103
25,124
26,113
27,127
28,119
29,122
30,129
31,160
32,152
33,170
34,200
35,220
36,284
37,272
38,320
39,361
40,396
41,491
42,469
43,572
44,683
45,750
46,886
47,1018
48,1184
49,1385
50,1535
51,1982
52,2270
53,2674
54,3230
55,3739
56,4313
57,4924
58,5815
59,6726
60,7558
61,8667
62,9952
63,11331
64,12845
65,14543
66,15983
67,17959
68,19785
69,21734
70,23862
71,25601
72,27785
73,30194
74,32359
75,34447
76,36944
77,38603
78,40623
79,42605
80,43941
81,45892
82,47032
83,48180
84,49118
85,50052
86,50255
87,50305
88,50114
89,49695
90,48853
91,47622
92,46164
93,45105
94,43215
95,41526
96,39715
97,37309
98,35500
99,33237
100,31310
101,28791
102,26065
103,24198
104,22022
105,19916
106,18476
107,17009
108,15507
109,14010
110,12980
111,11958
112,11050
113,9939
114,9387
115,8537
116,7841
117,7144
118,6743
119,6112
120,5599
121,5243
122,4713
123,4285
124,4005
125,3619
126,3377
127,2969
128,2756
129,2490
130,2359
131,2146
132,1969
133,1790
134,1608
135,1529
136,1313
137,1255
138,1099
139,1033
140,969
141,799
142,803
143,722
144,686
145,589
146,586
147,524
148,467
149,457
150,399
