day,I
1,98
2,104
3,93
4,82
5,99
6,83
7,95
8,90
9,88
10,81
11,83
12,77
13,69
14,86
15,90
16,77
17,83
18,79
19,81
20,81
21,90
22,78
23,96
24,117
25,96
26,93
27,98
28,102
29,107
30,113
31,117
32,138
33,121
34,137
35,136
36,149
37,155
38,146
39,159
40,157
41,207
42,212
43,197
44,187
45,231
46,230
47,265
48,273
49,293
50,321
51,318
52,382
53,386
54,402
55,461
56,520
57,516
58,526
59,653
60,684
61,711
62,755
63,814
64,845
65,887
66,971
67,1005
68,1063
69,1070
70,1171
71,1187
72,1148
73,1275
74,1334
75,1347
76,1426
77,1427
78,1486
79,1586
80,1558
81,1653
82,1674
83,1721
84,1724
85,1774
86,1740
87,1765
88,1705
89,1895
90,1752
91,1738
92,1756
93,1641
94,1748
95,1658
96,1693
97,1659
98,1539
99,1526
100,1510
101,1497
102,1422
103,1326
104,1288
105,1299
106,1200
107,1122
108,1155
109,1032
110,1044
111,987
112,916
113,885
114,913
115,842
116,825
117,832
118,744
119,705
120,696
121,682
122,640
123,638
124,576
125,589
126,507
127,487
128,508
129,525
130,466
131,485
132,432
133,401
134,388
135,390
136,395
137,368
138,361
139,361
140,318
141,318
142,337
143,311
144,320
145,301
146,244
147,270
148,259
149,253
150,234
