day,I
1,97
2,111
3,102
4,124
5,123
6,110
7,128
8,116
9,117
10,122
11,135
12,137
13,130
14,156
15,178
16,164
17,163
18,184
19,218
20,195
21,216
22,250
23,265
24,250
25,255
26,327
27,326
28,290
29,330
30,332
31,329
32,329
33,339
34,356
35,349
36,297
37,297
38,321
39,277
40,264
41,274
42,246
43,243
44,214
45,167
46,196
47,172
48,142
49,143
50,122
51,140
52,126
53,109
54,89
55,83
56,80
57,71
58,84
59,69
60,75
61,62
62,84
63,79
64,73
65,64
66,84
67,69
68,81
69,74
70,78
71,83
72,103
73,101
74,85
75,107
76,96
77,112
78,148
79,152
80,141
81,173
82,155
83,193
84,170
85,184
86,196
87,224
88,224
89,227
90,216
91,224
92,238
93,243
94,250
95,266
96,225
97,237
98,220
99,199
100,186
101,190
102,181
103,138
104,146
105,153
106,132
107,108
108,101
109,95
110,91
111,77
112,72
113,55
114,65
115,61
116,58
117,47
118,42
119,45
120,43
121,38
122,44
123,42
124,36
125,34
126,30
127,33
128,33
129,32
130,29
131,38
132,33
133,41
134,43
135,34
136,43
137,49
138,50
139,53
140,60
141,62
142,68
143,78
144,79
145,90
146,85
147,88
148,86
149,88
150,93
