date,cases,hospitalisations,deaths,day_of_week
2021-01-07,48132,3849,918,4
2021-01-08,43494,3549,922,5
2021-01-09,36420,3718,976,6
2021-01-10,33749,3571,1030,7
2021-01-11,53519,3894,1076,1
2021-01-12,45968,4134,1173,2
2021-01-13,42302,3840,1161,3
2021-01-14,39660,3678,1167,4
2021-01-15,37878,3295,1162,5
2021-01-16,28413,3569,1241,6
2021-01-17,26976,3424,1229,7
2021-01-18,41936,3711,1242,1
2021-01-19,37054,3768,1328,2
2021-01-20,32678,3679,1237,3
2021-01-21,29632,3237,1204,4
2021-01-22,27741,3016,1189,5
2021-01-23,20425,2780,1148,6
2021-01-24,15883,2824,1086,7
2021-01-25,27972,2648,1150,1
2021-01-26,25209,2799,1046,2
2021-01-27,23899,2742,1108,3
2021-01-28,22523,2719,1110,4
2021-01-29,20363,2379,1008,5
2021-01-30,15524,2193,924,6
2021-01-31,14138,2183,899,7
2021-02-01,20764,2347,893,1
2021-02-02,18193,2222,854,2
2021-02-03,17948,2096,872,3
2021-02-04,16717,1907,735,4
2021-02-05,14461,1757,771,5
2021-02-06,10951,1679,686,6
2021-02-07,10458,1675,665,7
2021-02-08,14370,1739,702,1
2021-02-09,12696,1531,628,2
2021-02-10,12272,1535,629,3
2021-02-11,11637,1440,590,4
2021-02-12,10986,1318,546,5
2021-02-13,8025,1240,512,6
2021-02-14,7781,1364,520,7
2021-02-15,12953,1322,549,1
2021-02-16,11268,1311,501,2
2021-02-17,10419,1233,438,3
2021-02-18,10303,1149,454,4
2021-02-19,9246,1068,390,5
2021-02-20,7161,904,388,6
2021-02-21,7033,1008,355,7
2021-02-22,10279,980,325,1
2021-02-23,8536,976,336,2
2021-02-24,7620,874,317,3
2021-02-25,6933,832,308,4
2021-02-26,5883,718,262,5
2021-02-27,4254,624,265,6
2021-02-28,4112,662,257,7
2021-03-01,6215,704,254,1
2021-03-02,5950,683,210,2
2021-03-03,5305,607,188,3
2021-03-04,5011,596,204,4
2021-03-05,4728,487,203,5
2021-03-06,3832,528,178,6
2021-03-07,3677,461,175,7
2021-03-08,5818,501,165,1
2021-03-09,5488,483,160,2
2021-03-10,5222,494,136,3
2021-03-11,4848,449,152,4
2021-03-12,4767,386,117,5
2021-03-13,3592,385,123,6
2021-03-14,3707,357,115,7
2021-03-15,5643,431,122,1
2021-03-16,4933,364,94,2
2021-03-17,5047,343,104,3
2021-03-18,4689,351,85,4
2021-03-19,4333,283,82,5
2021-03-20,3514,287,89,6
2021-03-21,4679,279,109,7
2021-03-22,5400,294,89,1
2021-03-23,4566,295,83,2
2021-03-24,5321,277,58,3
2021-03-25,4674,288,68,4
2021-03-26,3803,245,61,5
2021-03-27,3136,217,55,6
2021-03-28,4477,221,43,7
2021-03-29,3422,206,58,1
2021-03-30,3135,217,50,2
2021-03-31,3340,225,64,3
