date,deaths
2023-01-01,0
2023-01-02,0
2023-01-03,0
2023-01-04,0
2023-01-05,0
2023-01-06,2
2023-01-07,1
2023-01-08,1
2023-01-09,0
2023-01-10,0
2023-01-11,0
2023-01-12,0
2023-01-13,1
2023-01-14,0
2023-01-15,0
2023-01-16,3
2023-01-17,1
2023-01-18,0
2023-01-19,0
2023-01-20,2
2023-01-21,0
2023-01-22,1
2023-01-23,1
2023-01-24,2
2023-01-25,1
2023-01-26,0
2023-01-27,1
2023-01-28,0
2023-01-29,0
2023-01-30,1
2023-01-31,2
2023-02-01,1
2023-02-02,0
2023-02-03,0
2023-02-04,2
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,1
2023-02-09,0
2023-02-10,0
2023-02-11,1
2023-02-12,0
2023-02-13,1
2023-02-14,0
2023-02-15,1
2023-02-16,0
2023-02-17,0
2023-02-18,0
2023-02-19,0
2023-02-20,1
2023-02-21,0
2023-02-22,2
2023-02-23,2
2023-02-24,0
2023-02-25,0
2023-02-26,1
2023-02-27,1
2023-02-28,1
2023-03-01,0
2023-03-02,1
2023-03-03,0
2023-03-04,1
2023-03-05,1
2023-03-06,1
2023-03-07,0
2023-03-08,0
2023-03-09,0
2023-03-10,2
2023-03-11,2
2023-03-12,4
2023-03-13,3
2023-03-14,2
2023-03-15,6
2023-03-16,1
2023-03-17,4
2023-03-18,4
2023-03-19,1
2023-03-20,2
2023-03-21,0
2023-03-22,1
2023-03-23,2
2023-03-24,4
2023-03-25,1
2023-03-26,0
2023-03-27,5
2023-03-28,4
2023-03-29,6
2023-03-30,3
2023-03-31,3
2023-04-01,3
2023-04-02,4
2023-04-03,6
2023-04-04,5
2023-04-05,6
2023-04-06,5
2023-04-07,8
2023-04-08,1
2023-04-09,1
2023-04-10,2
2023-04-11,3
2023-04-12,3
2023-04-13,10
2023-04-14,4
2023-04-15,5
2023-04-16,4
2023-04-17,6
2023-04-18,5
2023-04-19,5
2023-04-20,4
2023-04-21,8
2023-04-22,1
2023-04-23,6
2023-04-24,5
2023-04-25,4
2023-04-26,6
2023-04-27,9
2023-04-28,5
2023-04-29,1
2023-04-30,2
2023-05-01,8
2023-05-02,7
2023-05-03,5
2023-05-04,6
2023-05-05,7
2023-05-06,2
2023-05-07,1
2023-05-08,2
2023-05-09,9
2023-05-10,2
2023-05-11,4
2023-05-12,3
2023-05-13,1
2023-05-14,1
2023-05-15,2
2023-05-16,0
2023-05-17,2
2023-05-18,5
2023-05-19,1
2023-05-20,2
2023-05-21,1
2023-05-22,3
2023-05-23,4
2023-05-24,4
2023-05-25,1
2023-05-26,0
2023-05-27,1
2023-05-28,3
2023-05-29,1
2023-05-30,3
