date,deaths
2023-01-01,1
2023-01-02,0
2023-01-03,2
2023-01-04,2
2023-01-05,3
2023-01-06,1
2023-01-07,2
2023-01-08,0
2023-01-09,3
2023-01-10,1
2023-01-11,3
2023-01-12,0
2023-01-13,3
2023-01-14,1
2023-01-15,2
2023-01-16,0
2023-01-17,3
2023-01-18,2
2023-01-19,1
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,2
2023-01-24,1
2023-01-25,1
2023-01-26,1
2023-01-27,1
2023-01-28,1
2023-01-29,1
2023-01-30,0
2023-01-31,0
2023-02-01,0
2023-02-02,0
2023-02-03,1
2023-02-04,0
2023-02-05,0
2023-02-06,1
2023-02-07,0
2023-02-08,2
2023-02-09,0
2023-02-10,0
2023-02-11,0
2023-02-12,0
2023-02-13,0
2023-02-14,0
2023-02-15,0
2023-02-16,1
2023-02-17,0
2023-02-18,1
2023-02-19,0
2023-02-20,1
2023-02-21,1
2023-02-22,0
2023-02-23,0
2023-02-24,1
2023-02-25,0
2023-02-26,1
2023-02-27,1
2023-02-28,0
2023-03-01,3
2023-03-02,4
2023-03-03,2
2023-03-04,0
2023-03-05,0
2023-03-06,0
2023-03-07,5
2023-03-08,2
2023-03-09,3
2023-03-10,10
2023-03-11,1
2023-03-12,2
2023-03-13,3
2023-03-14,6
2023-03-15,7
2023-03-16,10
2023-03-17,11
2023-03-18,11
2023-03-19,10
2023-03-20,14
2023-03-21,15
2023-03-22,15
2023-03-23,24
2023-03-24,21
2023-03-25,10
2023-03-26,13
2023-03-27,33
2023-03-28,40
2023-03-29,34
2023-03-30,37
2023-03-31,37
2023-04-01,28
2023-04-02,27
2023-04-03,53
2023-04-04,48
2023-04-05,68
2023-04-06,63
2023-04-07,61
2023-04-08,37
2023-04-09,32
2023-04-10,57
2023-04-11,76
2023-04-12,68
2023-04-13,79
2023-04-14,59
2023-04-15,31
2023-04-16,27
2023-04-17,65
2023-04-18,67
2023-04-19,75
2023-04-20,81
2023-04-21,67
2023-04-22,32
2023-04-23,24
2023-04-24,81
2023-04-25,49
2023-04-26,61
2023-04-27,48
2023-04-28,56
2023-04-29,26
2023-04-30,28
2023-05-01,43
2023-05-02,27
2023-05-03,47
2023-05-04,44
2023-05-05,34
2023-05-06,10
2023-05-07,14
2023-05-08,28
2023-05-09,30
2023-05-10,23
2023-05-11,24
2023-05-12,18
2023-05-13,10
2023-05-14,4
2023-05-15,9
2023-05-16,20
2023-05-17,14
2023-05-18,14
2023-05-19,12
2023-05-20,9
2023-05-21,7
2023-05-22,7
2023-05-23,8
2023-05-24,10
2023-05-25,9
2023-05-26,3
2023-05-27,2
2023-05-28,4
2023-05-29,6
2023-05-30,4
