run_dir,n_source_files,flag_poisson_only,flag_no_smoothing_term,flag_no_delay_handling,flag_no_censoring,flag_no_truncation,flag_no_dow,flag_no_ascertainment,flag_naive_density_at_integers,flag_normal_observation,chosen_package,flag_no_uncertainty,flag_negative_rt,flag_no_multistream_latent
runs/scenario_2/epiaware/par_01/extreme_dispersion/rep_01/claude-sonnet-4-6/run_03,4,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/extreme_dispersion/rep_01/claude-sonnet-4-6/run_01,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/extreme_dispersion/rep_01/claude-sonnet-4-6/run_02,4,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/long_delay/rep_01/claude-sonnet-4-6/run_03,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/long_delay/rep_01/claude-sonnet-4-6/run_01,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/long_delay/rep_01/claude-sonnet-4-6/run_02,8,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_11,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_13,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_14,1,0,0,0,1,1,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_01,0,0,1,1,,1,1,1,0,0,,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_02,8,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_12,5,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-sonnet-4-6/run_10,1,0,0,0,1,1,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-haiku-4-5/run_03,2,0,0,0,0,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-haiku-4-5/run_05,5,0,0,0,0,1,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-haiku-4-5/run_01,4,0,0,0,0,0,1,1,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-haiku-4-5/run_02,4,0,0,1,,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/canonical/rep_01/claude-haiku-4-5/run_04,4,0,0,0,0,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/abrupt_change/rep_01/claude-sonnet-4-6/run_03,1,0,1,0,0,0,0,0,0,0,Julia_Turing,0,0,
runs/scenario_2/epiaware/par_01/abrupt_change/rep_01/claude-sonnet-4-6/run_01,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/abrupt_change/rep_01/claude-sonnet-4-6/run_02,4,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/short_gi/rep_01/claude-sonnet-4-6/run_03,9,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/short_gi/rep_01/claude-sonnet-4-6/run_01,1,0,0,0,1,1,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/epiaware/par_01/short_gi/rep_01/claude-sonnet-4-6/run_02,1,0,0,0,1,0,0,0,0,0,Julia_EpiAware,0,0,
runs/scenario_2/no-spec/par_01/extreme_dispersion/rep_01/claude-sonnet-4-6/run_03,1,1,0,0,1,1,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/extreme_dispersion/rep_01/claude-sonnet-4-6/run_01,2,0,0,0,1,1,0,0,0,0,R_cmdstanr,0,0,
runs/scenario_2/no-spec/par_01/extreme_dispersion/rep_01/claude-sonnet-4-6/run_02,1,0,0,0,1,1,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/long_delay/rep_01/claude-sonnet-4-6/run_03,1,0,0,0,1,1,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/long_delay/rep_01/claude-sonnet-4-6/run_01,5,0,0,0,1,1,0,0,0,0,R_cmdstanr,0,0,
runs/scenario_2/no-spec/par_01/long_delay/rep_01/claude-sonnet-4-6/run_02,1,0,0,0,1,0,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-sonnet-4-6/run_11,2,0,1,0,1,1,0,1,0,0,R_cmdstanr,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-sonnet-4-6/run_13,1,0,0,0,1,1,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-sonnet-4-6/run_14,7,0,0,0,1,1,0,0,0,0,R_cmdstanr,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-sonnet-4-6/run_01,1,0,0,0,1,1,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-sonnet-4-6/run_12,1,0,0,0,1,1,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-sonnet-4-6/run_10,5,0,0,0,1,0,0,0,0,0,Python_numpyro,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-haiku-4-5/run_03,3,0,0,0,1,1,0,0,0,0,R_cmdstanr,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-haiku-4-5/run_05,2,0,0,0,1,1,0,0,0,0,R_cmdstanr,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-haiku-4-5/run_01,6,0,0,0,1,1,0,0,0,0,Python_PyMC,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-haiku-4-5/run_02,1,0,1,0,1,1,0,0,0,0,Python,0,0,
runs/scenario_2/no-spec/par_01/canonical/rep_01/claude-haiku-4-5/run_04,3,0,1,0,1,1,0,0,0,0,R_cmdstanr,0,0,
