date,hospitalisations
2023-01-01,0
2023-01-02,1
2023-01-03,5
2023-01-04,3
2023-01-05,4
2023-01-06,4
2023-01-07,1
2023-01-08,2
2023-01-09,5
2023-01-10,5
2023-01-11,3
2023-01-12,2
2023-01-13,7
2023-01-14,3
2023-01-15,1
2023-01-16,10
2023-01-17,9
2023-01-18,5
2023-01-19,7
2023-01-20,6
2023-01-21,4
2023-01-22,3
2023-01-23,11
2023-01-24,5
2023-01-25,8
2023-01-26,14
2023-01-27,11
2023-01-28,8
2023-01-29,10
2023-01-30,8
2023-01-31,10
2023-02-01,23
2023-02-02,9
2023-02-03,11
2023-02-04,7
2023-02-05,9
2023-02-06,27
2023-02-07,12
2023-02-08,23
2023-02-09,18
2023-02-10,16
2023-02-11,12
2023-02-12,7
2023-02-13,19
2023-02-14,20
2023-02-15,16
2023-02-16,11
2023-02-17,6
2023-02-18,3
2023-02-19,9
2023-02-20,13
2023-02-21,9
2023-02-22,14
2023-02-23,6
2023-02-24,8
2023-02-25,6
2023-02-26,1
2023-02-27,9
2023-02-28,4
2023-03-01,4
2023-03-02,2
2023-03-03,6
2023-03-04,1
2023-03-05,1
2023-03-06,5
2023-03-07,1
2023-03-08,1
2023-03-09,2
2023-03-10,3
2023-03-11,0
2023-03-12,0
2023-03-13,2
2023-03-14,1
2023-03-15,1
2023-03-16,1
2023-03-17,0
2023-03-18,1
2023-03-19,1
2023-03-20,2
2023-03-21,0
2023-03-22,4
2023-03-23,1
2023-03-24,2
2023-03-25,0
2023-03-26,2
2023-03-27,2
2023-03-28,4
2023-03-29,7
2023-03-30,5
2023-03-31,2
2023-04-01,0
2023-04-02,3
2023-04-03,5
2023-04-04,5
2023-04-05,3
2023-04-06,5
2023-04-07,7
2023-04-08,2
2023-04-09,2
2023-04-10,3
2023-04-11,8
2023-04-12,2
2023-04-13,8
2023-04-14,6
2023-04-15,7
2023-04-16,1
2023-04-17,8
2023-04-18,6
2023-04-19,10
2023-04-20,10
2023-04-21,5
2023-04-22,5
2023-04-23,3
2023-04-24,8
2023-04-25,5
2023-04-26,9
2023-04-27,2
2023-04-28,7
2023-04-29,2
2023-04-30,3
2023-05-01,4
2023-05-02,5
2023-05-03,6
2023-05-04,2
2023-05-05,4
2023-05-06,3
2023-05-07,1
2023-05-08,2
2023-05-09,2
2023-05-10,3
2023-05-11,2
2023-05-12,2
2023-05-13,2
2023-05-14,1
2023-05-15,4
2023-05-16,0
2023-05-17,2
2023-05-18,4
2023-05-19,6
2023-05-20,2
2023-05-21,1
2023-05-22,5
2023-05-23,7
2023-05-24,3
2023-05-25,8
2023-05-26,8
2023-05-27,4
2023-05-28,4
2023-05-29,7
2023-05-30,4
