day,I
1,103
2,103
3,88
4,87
5,99
6,79
7,91
8,75
9,82
10,84
11,70
12,77
13,66
14,73
15,75
16,72
17,63
18,62
19,76
20,67
21,75
22,67
23,73
24,76
25,67
26,68
27,72
28,76
29,83
30,60
31,67
32,80
33,91
34,83
35,91
36,89
37,120
38,107
39,102
40,127
41,130
42,128
43,155
44,149
45,164
46,184
47,192
48,198
49,232
50,249
51,281
52,297
53,329
54,335
55,397
56,406
57,399
58,497
59,516
60,490
61,542
62,600
63,658
64,664
65,727
66,743
67,798
68,831
69,893
70,988
71,913
72,1015
73,1022
74,1048
75,1104
76,1077
77,1183
78,1222
79,1181
80,1226
81,1286
82,1331
83,1245
84,1336
85,1319
86,1369
87,1327
88,1335
89,1317
90,1269
91,1317
92,1307
93,1318
94,1278
95,1261
96,1279
97,1202
98,1215
99,1144
100,1095
101,1146
102,1099
103,1011
104,952
105,918
106,896
107,837
108,827
109,759
110,769
111,742
112,654
113,693
114,663
115,592
116,580
117,580
118,601
119,533
120,534
121,513
122,455
123,462
124,459
125,466
126,394
127,398
128,394
129,387
130,368
131,346
132,344
133,333
134,283
135,280
136,276
137,278
138,265
139,233
140,237
141,202
142,236
143,223
144,219
145,189
146,177
147,162
148,166
149,156
150,138
