day,I
1,47
2,51
3,69
4,54
5,56
6,55
7,61
8,60
9,46
10,41
11,45
12,50
13,45
14,45
15,56
16,45
17,37
18,36
19,38
20,47
21,38
22,37
23,42
24,38
25,38
26,43
27,46
28,44
29,41
30,39
31,41
32,47
33,41
34,50
35,45
36,44
37,52
38,47
39,52
40,58
41,62
42,57
43,50
44,57
45,64
46,92
47,74
48,71
49,71
50,92
51,105
52,99
53,127
54,121
55,149
56,127
57,164
58,187
59,196
60,200
61,215
62,241
63,236
64,215
65,289
66,306
67,312
68,304
69,352
70,345
71,358
72,427
73,404
74,415
75,441
76,490
77,451
78,482
79,482
80,521
81,506
82,500
83,534
84,517
85,548
86,537
87,563
88,568
89,554
90,531
91,573
92,547
93,533
94,554
95,546
96,532
97,501
98,494
99,461
100,434
101,470
102,443
103,434
104,379
105,392
106,366
107,398
108,319
109,341
110,322
111,298
112,285
113,268
114,277
115,259
116,251
117,203
118,240
119,189
120,192
121,177
122,170
123,171
124,171
125,136
126,147
127,127
128,125
129,115
130,118
131,141
132,113
133,100
134,91
135,104
136,95
137,93
138,86
139,83
140,83
141,87
142,67
143,53
144,79
145,70
146,58
147,59
148,52
149,57
150,47
