date,cases,day_of_week
2020-09-01,1962,2
2020-09-02,2696,3
2020-09-03,2716,4
2020-09-04,2637,5
2020-09-05,2200,6
2020-09-06,2079,7
2020-09-07,3530,1
2020-09-08,3071,2
2020-09-09,2893,3
2020-09-10,3143,4
2020-09-11,2893,5
2020-09-12,2224,6
2020-09-13,1722,7
2020-09-14,2941,1
2020-09-15,3057,2
2020-09-16,3778,3
2020-09-17,3979,4
2020-09-18,4290,5
2020-09-19,4215,6
2020-09-20,4652,7
2020-09-21,4727,1
2020-09-22,5400,2
2020-09-23,5934,3
2020-09-24,6361,4
2020-09-25,6105,5
2020-09-26,5704,6
2020-09-27,6084,7
2020-09-28,8641,1
2020-09-29,8832,2
2020-09-30,10663,3
2020-10-01,11444,4
2020-10-02,11719,5
2020-10-03,9820,6
2020-10-04,9966,7
2020-10-05,14218,1
2020-10-06,14458,2
2020-10-07,15418,3
2020-10-08,15452,4
2020-10-09,13158,5
2020-10-10,10301,6
2020-10-11,9781,7
2020-10-12,16420,1
2020-10-13,15660,2
2020-10-14,16644,3
2020-10-15,15428,4
2020-10-16,14761,5
2020-10-17,12488,6
2020-10-18,11982,7
2020-10-19,22369,1
2020-10-20,21638,2
2020-10-21,21762,3
2020-10-22,19866,4
2020-10-23,18359,5
2020-10-24,13713,6
2020-10-25,13353,7
2020-10-26,23033,1
2020-10-27,20762,2
2020-10-28,20548,3
2020-10-29,20256,4
2020-10-30,19899,5
2020-10-31,14565,6
2020-11-01,13611,7
2020-11-02,28394,1
2020-11-03,22690,2
2020-11-04,21053,3
2020-11-05,21206,4
2020-11-06,21179,5
2020-11-07,16888,6
2020-11-08,18272,7
2020-11-09,28562,1
2020-11-10,24836,2
2020-11-11,25064,3
2020-11-12,22320,4
2020-11-13,22009,5
2020-11-14,16290,6
2020-11-15,14430,7
2020-11-16,24147,1
2020-11-17,20675,2
2020-11-18,18545,3
2020-11-19,15797,4
2020-11-20,14960,5
2020-11-21,10806,6
2020-11-22,10216,7
2020-11-23,16472,1
2020-11-24,14267,2
2020-11-25,14153,3
2020-11-26,12458,4
2020-11-27,12459,5
2020-11-28,9348,6
2020-11-29,9067,7
2020-11-30,15228,1
2020-12-01,13732,2
2020-12-02,13661,3
2020-12-03,12761,4
2020-12-04,13065,5
2020-12-05,10302,6
2020-12-06,11036,7
2020-12-07,17662,1
2020-12-08,16937,2
2020-12-09,17744,3
2020-12-10,18850,4
2020-12-11,20177,5
2020-12-12,16268,6
2020-12-13,18409,7
2020-12-14,30019,1
2020-12-15,29652,2
2020-12-16,30648,3
2020-12-17,30160,4
2020-12-18,32426,5
2020-12-19,22195,6
2020-12-20,29556,7
2020-12-21,43446,1
2020-12-22,41741,2
2020-12-23,38382,3
2020-12-24,29287,4
2020-12-25,12926,5
2020-12-26,37462,6
2020-12-27,43250,7
2020-12-28,40845,1
2020-12-29,74058,2
2020-12-30,64243,3
2020-12-31,47824,4
2021-01-01,28879,5
2021-01-02,55429,6
2021-01-03,50664,7
2021-01-04,70920,1
2021-01-05,59601,2
2021-01-06,52752,3
2021-01-07,48132,4
2021-01-08,43494,5
2021-01-09,36420,6
2021-01-10,33749,7
2021-01-11,53519,1
2021-01-12,45968,2
2021-01-13,42302,3
2021-01-14,39660,4
2021-01-15,37878,5
2021-01-16,28413,6
2021-01-17,26976,7
2021-01-18,41936,1
2021-01-19,37054,2
2021-01-20,32678,3
2021-01-21,29632,4
2021-01-22,27741,5
2021-01-23,20425,6
2021-01-24,15883,7
2021-01-25,27972,1
2021-01-26,25209,2
2021-01-27,23899,3
2021-01-28,22523,4
2021-01-29,20363,5
2021-01-30,15524,6
2021-01-31,14138,7
2021-02-01,20764,1
2021-02-02,18193,2
2021-02-03,17948,3
2021-02-04,16717,4
2021-02-05,14461,5
2021-02-06,10951,6
2021-02-07,10458,7
2021-02-08,14370,1
2021-02-09,12696,2
2021-02-10,12272,3
2021-02-11,11637,4
2021-02-12,10986,5
2021-02-13,8025,6
2021-02-14,7781,7
2021-02-15,12953,1
2021-02-16,11268,2
2021-02-17,10419,3
2021-02-18,10303,4
2021-02-19,9246,5
2021-02-20,7161,6
2021-02-21,7033,7
2021-02-22,10279,1
2021-02-23,8536,2
2021-02-24,7620,3
2021-02-25,6933,4
2021-02-26,5883,5
2021-02-27,4254,6
2021-02-28,4112,7
2021-03-01,6215,1
2021-03-02,5950,2
2021-03-03,5305,3
2021-03-04,5011,4
2021-03-05,4728,5
2021-03-06,3832,6
2021-03-07,3677,7
2021-03-08,5818,1
2021-03-09,5488,2
2021-03-10,5222,3
2021-03-11,4848,4
2021-03-12,4767,5
2021-03-13,3592,6
2021-03-14,3707,7
2021-03-15,5643,1
2021-03-16,4933,2
2021-03-17,5047,3
2021-03-18,4689,4
2021-03-19,4333,5
2021-03-20,3514,6
2021-03-21,4679,7
2021-03-22,5400,1
2021-03-23,4566,2
2021-03-24,5321,3
2021-03-25,4674,4
2021-03-26,3803,5
2021-03-27,3136,6
2021-03-28,4477,7
2021-03-29,3422,1
2021-03-30,3135,2
2021-03-31,3340,3
