day,I
1,62
2,62
3,57
4,63
5,62
6,45
7,57
8,42
9,43
10,48
11,36
12,63
13,46
14,44
15,45
16,44
17,46
18,40
19,51
20,46
21,37
22,45
23,44
24,51
25,43
26,49
27,52
28,50
29,55
30,50
31,61
32,67
33,67
34,63
35,60
36,83
37,55
38,96
39,86
40,87
41,82
42,114
43,113
44,112
45,107
46,129
47,131
48,132
49,163
50,173
51,171
52,190
53,224
54,222
55,226
56,271
57,262
58,275
59,297
60,366
61,365
62,335
63,405
64,424
65,454
66,479
67,518
68,554
69,522
70,553
71,632
72,637
73,670
74,668
75,642
76,736
77,775
78,776
79,786
80,801
81,828
82,882
83,870
84,850
85,907
86,857
87,890
88,943
89,909
90,896
91,845
92,908
93,872
94,911
95,860
96,814
97,812
98,775
99,815
100,733
101,770
102,689
103,667
104,599
105,635
106,625
107,612
108,562
109,519
110,519
111,455
112,479
113,444
114,427
115,428
116,424
117,367
118,326
119,368
120,340
121,337
122,310
123,311
124,301
125,281
126,263
127,252
128,247
129,234
130,245
131,205
132,202
133,182
134,180
135,184
136,170
137,143
138,138
139,157
140,138
141,140
142,132
143,122
144,114
145,105
146,116
147,98
148,99
149,68
150,96
