date,hospitalisations
2023-01-01,1
2023-01-02,4
2023-01-03,7
2023-01-04,6
2023-01-05,10
2023-01-06,9
2023-01-07,3
2023-01-08,5
2023-01-09,3
2023-01-10,11
2023-01-11,6
2023-01-12,3
2023-01-13,8
2023-01-14,7
2023-01-15,3
2023-01-16,3
2023-01-17,4
2023-01-18,4
2023-01-19,6
2023-01-20,3
2023-01-21,6
2023-01-22,4
2023-01-23,8
2023-01-24,3
2023-01-25,7
2023-01-26,5
2023-01-27,5
2023-01-28,0
2023-01-29,0
2023-01-30,3
2023-01-31,4
2023-02-01,6
2023-02-02,9
2023-02-03,3
2023-02-04,3
2023-02-05,1
2023-02-06,10
2023-02-07,4
2023-02-08,11
2023-02-09,9
2023-02-10,9
2023-02-11,4
2023-02-12,0
2023-02-13,6
2023-02-14,4
2023-02-15,5
2023-02-16,7
2023-02-17,7
2023-02-18,1
2023-02-19,5
2023-02-20,5
2023-02-21,5
2023-02-22,1
2023-02-23,11
2023-02-24,10
2023-02-25,4
2023-02-26,5
2023-02-27,7
2023-02-28,6
2023-03-01,11
2023-03-02,5
2023-03-03,7
2023-03-04,4
2023-03-05,3
2023-03-06,19
2023-03-07,12
2023-03-08,11
2023-03-09,12
2023-03-10,8
2023-03-11,5
2023-03-12,13
2023-03-13,12
2023-03-14,12
2023-03-15,10
2023-03-16,20
2023-03-17,20
2023-03-18,7
2023-03-19,8
2023-03-20,28
2023-03-21,31
2023-03-22,13
2023-03-23,20
2023-03-24,19
2023-03-25,9
2023-03-26,7
2023-03-27,10
2023-03-28,16
2023-03-29,27
2023-03-30,31
2023-03-31,17
2023-04-01,4
2023-04-02,13
2023-04-03,11
2023-04-04,14
2023-04-05,11
2023-04-06,19
2023-04-07,6
2023-04-08,20
2023-04-09,9
2023-04-10,14
2023-04-11,15
2023-04-12,14
2023-04-13,19
2023-04-14,21
2023-04-15,13
2023-04-16,7
2023-04-17,19
2023-04-18,19
2023-04-19,15
2023-04-20,15
2023-04-21,11
2023-04-22,10
2023-04-23,3
2023-04-24,8
2023-04-25,15
2023-04-26,17
2023-04-27,20
2023-04-28,21
2023-04-29,10
2023-04-30,12
2023-05-01,17
2023-05-02,12
2023-05-03,17
2023-05-04,16
2023-05-05,17
2023-05-06,3
2023-05-07,7
2023-05-08,21
2023-05-09,10
2023-05-10,11
2023-05-11,12
2023-05-12,11
2023-05-13,0
2023-05-14,12
2023-05-15,6
2023-05-16,15
2023-05-17,3
2023-05-18,12
2023-05-19,6
2023-05-20,6
2023-05-21,6
2023-05-22,13
2023-05-23,21
2023-05-24,7
2023-05-25,21
2023-05-26,5
2023-05-27,4
2023-05-28,4
2023-05-29,14
2023-05-30,26
