day,I
1,96
2,106
3,116
4,98
5,101
6,84
7,84
8,110
9,106
10,98
11,111
12,92
13,76
14,104
15,90
16,100
17,113
18,83
19,96
20,71
21,99
22,111
23,95
24,107
25,132
26,112
27,94
28,115
29,113
30,134
31,145
32,152
33,159
34,129
35,174
36,156
37,153
38,204
39,255
40,239
41,219
42,272
43,248
44,290
45,257
46,304
47,317
48,368
49,400
50,409
51,403
52,518
53,515
54,507
55,522
56,566
57,579
58,650
59,712
60,686
61,762
62,766
63,855
64,781
65,899
66,865
67,954
68,855
69,945
70,969
71,934
72,1055
73,1044
74,1009
75,1030
76,1155
77,1147
78,1118
79,1092
80,1119
81,1143
82,1068
83,1104
84,1202
85,1132
86,1135
87,1053
88,1098
89,1061
90,1066
91,1055
92,968
93,1041
94,951
95,936
96,890
97,887
98,816
99,830
100,819
101,780
102,744
103,802
104,701
105,704
106,686
107,702
108,607
109,553
110,597
111,555
112,538
113,529
114,522
115,519
116,486
117,422
118,392
119,431
120,411
121,421
122,355
123,376
124,382
125,367
126,297
127,302
128,320
129,306
130,287
131,299
132,276
133,258
134,274
135,213
136,244
137,237
138,239
139,251
140,195
141,205
142,223
143,219
144,169
145,185
146,203
147,172
148,200
149,174
150,213
