day,I
1,120
2,115
3,114
4,107
5,131
6,119
7,131
8,138
9,127
10,134
11,147
12,122
13,147
14,165
15,179
16,178
17,187
18,172
19,201
20,241
21,239
22,243
23,264
24,268
25,306
26,306
27,294
28,311
29,373
30,349
31,340
32,351
33,377
34,385
35,387
36,372
37,337
38,337
39,320
40,323
41,302
42,260
43,241
44,231
45,214
46,211
47,179
48,171
49,151
50,148
51,148
52,113
53,110
54,116
55,95
56,111
57,99
58,87
59,71
60,87
61,74
62,87
63,82
64,83
65,97
66,76
67,90
68,87
69,97
70,115
71,101
72,135
73,113
74,109
75,130
76,127
77,141
78,126
79,162
80,201
81,178
82,184
83,192
84,218
85,247
86,265
87,232
88,258
89,300
90,318
91,316
92,252
93,326
94,305
95,340
96,298
97,300
98,272
99,272
100,245
101,235
102,213
103,223
104,196
105,155
106,169
107,137
108,147
109,121
110,134
111,94
112,107
113,88
114,108
115,81
116,69
117,69
118,60
119,67
120,60
121,62
122,74
123,74
124,58
125,64
126,65
127,92
128,65
129,94
130,88
131,93
132,93
133,101
134,109
135,95
136,124
137,131
138,137
139,127
140,136
141,164
142,162
143,177
144,202
145,193
146,196
147,207
148,186
149,214
150,193
