date,hospitalisations
2023-01-01,3
2023-01-02,6
2023-01-03,0
2023-01-04,3
2023-01-05,6
2023-01-06,5
2023-01-07,2
2023-01-08,4
2023-01-09,3
2023-01-10,4
2023-01-11,3
2023-01-12,3
2023-01-13,9
2023-01-14,2
2023-01-15,3
2023-01-16,5
2023-01-17,7
2023-01-18,8
2023-01-19,8
2023-01-20,7
2023-01-21,2
2023-01-22,3
2023-01-23,2
2023-01-24,0
2023-01-25,2
2023-01-26,2
2023-01-27,6
2023-01-28,2
2023-01-29,3
2023-01-30,5
2023-01-31,5
2023-02-01,2
2023-02-02,2
2023-02-03,1
2023-02-04,2
2023-02-05,2
2023-02-06,4
2023-02-07,4
2023-02-08,1
2023-02-09,5
2023-02-10,5
2023-02-11,2
2023-02-12,1
2023-02-13,4
2023-02-14,2
2023-02-15,3
2023-02-16,4
2023-02-17,8
2023-02-18,4
2023-02-19,2
2023-02-20,6
2023-02-21,10
2023-02-22,9
2023-02-23,5
2023-02-24,12
2023-02-25,4
2023-02-26,3
2023-02-27,12
2023-02-28,8
2023-03-01,11
2023-03-02,20
2023-03-03,8
2023-03-04,9
2023-03-05,4
2023-03-06,19
2023-03-07,12
2023-03-08,9
2023-03-09,7
2023-03-10,14
2023-03-11,5
2023-03-12,7
2023-03-13,11
2023-03-14,15
2023-03-15,17
2023-03-16,13
2023-03-17,17
2023-03-18,9
2023-03-19,5
2023-03-20,18
2023-03-21,15
2023-03-22,18
2023-03-23,19
2023-03-24,20
2023-03-25,2
2023-03-26,7
2023-03-27,22
2023-03-28,17
2023-03-29,26
2023-03-30,23
2023-03-31,29
2023-04-01,12
2023-04-02,12
2023-04-03,29
2023-04-04,27
2023-04-05,32
2023-04-06,31
2023-04-07,30
2023-04-08,14
2023-04-09,16
2023-04-10,31
2023-04-11,34
2023-04-12,29
2023-04-13,43
2023-04-14,30
2023-04-15,13
2023-04-16,14
2023-04-17,29
2023-04-18,29
2023-04-19,39
2023-04-20,52
2023-04-21,32
2023-04-22,19
2023-04-23,17
2023-04-24,25
2023-04-25,30
2023-04-26,38
2023-04-27,35
2023-04-28,21
2023-04-29,16
2023-04-30,11
2023-05-01,24
2023-05-02,29
2023-05-03,23
2023-05-04,36
2023-05-05,23
2023-05-06,11
2023-05-07,7
2023-05-08,29
2023-05-09,25
2023-05-10,21
2023-05-11,12
2023-05-12,19
2023-05-13,10
2023-05-14,13
2023-05-15,18
2023-05-16,16
2023-05-17,19
2023-05-18,20
2023-05-19,16
2023-05-20,6
2023-05-21,9
2023-05-22,19
2023-05-23,18
2023-05-24,16
2023-05-25,13
2023-05-26,14
2023-05-27,6
2023-05-28,8
2023-05-29,11
2023-05-30,7
