day,date,R_t
1,2023-01-01,0.8
2,2023-01-02,0.8142857142857143
3,2023-01-03,0.8285714285714286
4,2023-01-04,0.8428571428571429
5,2023-01-05,0.8571428571428572
6,2023-01-06,0.8714285714285714
7,2023-01-07,0.8857142857142858
8,2023-01-08,0.9
9,2023-01-09,0.9142857142857144
10,2023-01-10,0.9285714285714286
11,2023-01-11,0.9428571428571428
12,2023-01-12,0.9571428571428572
13,2023-01-13,0.9714285714285714
14,2023-01-14,0.9857142857142858
15,2023-01-15,1.0
16,2023-01-16,1.0142857142857142
17,2023-01-17,1.0285714285714287
18,2023-01-18,1.042857142857143
19,2023-01-19,1.0571428571428572
20,2023-01-20,1.0714285714285714
21,2023-01-21,1.0857142857142859
22,2023-01-22,1.1
23,2023-01-23,1.1142857142857143
24,2023-01-24,1.1285714285714286
25,2023-01-25,1.1428571428571428
26,2023-01-26,1.1571428571428573
27,2023-01-27,1.1714285714285715
28,2023-01-28,1.1857142857142857
29,2023-01-29,1.2
30,2023-01-30,1.2142857142857142
31,2023-01-31,1.2285714285714286
32,2023-02-01,1.2428571428571429
33,2023-02-02,1.2571428571428571
34,2023-02-03,1.2714285714285714
35,2023-02-04,1.2857142857142856
36,2023-02-05,1.3
37,2023-02-06,1.3142857142857143
38,2023-02-07,1.3285714285714287
39,2023-02-08,1.342857142857143
40,2023-02-09,1.3571428571428572
41,2023-02-10,1.3714285714285714
42,2023-02-11,1.3857142857142857
43,2023-02-12,1.4
44,2023-02-13,1.4142857142857141
45,2023-02-14,1.4285714285714286
46,2023-02-15,1.4428571428571428
47,2023-02-16,1.457142857142857
48,2023-02-17,1.4714285714285715
49,2023-02-18,1.4857142857142858
50,2023-02-19,1.5
51,2023-02-20,1.5
52,2023-02-21,1.5
53,2023-02-22,1.5
54,2023-02-23,1.5
55,2023-02-24,1.5
56,2023-02-25,1.5
57,2023-02-26,1.5
58,2023-02-27,1.5
59,2023-02-28,1.5
60,2023-03-01,1.5
61,2023-03-02,1.5
62,2023-03-03,1.5
63,2023-03-04,1.5
64,2023-03-05,1.5
65,2023-03-06,1.5
66,2023-03-07,1.5
67,2023-03-08,1.5
68,2023-03-09,1.5
69,2023-03-10,1.5
70,2023-03-11,1.5
71,2023-03-12,1.5
72,2023-03-13,1.5
73,2023-03-14,1.5
74,2023-03-15,1.5
75,2023-03-16,1.1666666666666667
76,2023-03-17,0.8333333333333334
77,2023-03-18,0.5
78,2023-03-19,0.5
79,2023-03-20,0.5
80,2023-03-21,0.5
81,2023-03-22,0.5
82,2023-03-23,0.5
83,2023-03-24,0.5
84,2023-03-25,0.5
85,2023-03-26,0.5
86,2023-03-27,0.5
87,2023-03-28,0.5
88,2023-03-29,0.5
89,2023-03-30,0.5
90,2023-03-31,0.5
91,2023-04-01,0.5
92,2023-04-02,0.5
93,2023-04-03,0.5
94,2023-04-04,0.5
95,2023-04-05,0.5
96,2023-04-06,0.5
97,2023-04-07,0.5
98,2023-04-08,0.5
99,2023-04-09,0.5
100,2023-04-10,0.5
101,2023-04-11,0.5
102,2023-04-12,0.5
103,2023-04-13,0.5
104,2023-04-14,0.5
105,2023-04-15,0.5
106,2023-04-16,0.5
107,2023-04-17,0.5
108,2023-04-18,0.5
109,2023-04-19,0.5
110,2023-04-20,0.5
111,2023-04-21,0.5
112,2023-04-22,0.5
113,2023-04-23,0.5
114,2023-04-24,0.5
115,2023-04-25,0.5
116,2023-04-26,0.5
117,2023-04-27,0.5
118,2023-04-28,0.5
119,2023-04-29,0.5
120,2023-04-30,0.5
121,2023-05-01,0.5
122,2023-05-02,0.5
123,2023-05-03,0.5
124,2023-05-04,0.5
125,2023-05-05,0.5
126,2023-05-06,0.5
127,2023-05-07,0.5
128,2023-05-08,0.5
129,2023-05-09,0.5
130,2023-05-10,0.5
131,2023-05-11,0.5
132,2023-05-12,0.5
133,2023-05-13,0.5
134,2023-05-14,0.5
135,2023-05-15,0.5
136,2023-05-16,0.5
137,2023-05-17,0.5
138,2023-05-18,0.5
139,2023-05-19,0.5
140,2023-05-20,0.5
141,2023-05-21,0.5
142,2023-05-22,0.5
143,2023-05-23,0.5
144,2023-05-24,0.5
145,2023-05-25,0.5
146,2023-05-26,0.5
147,2023-05-27,0.5
148,2023-05-28,0.5
149,2023-05-29,0.5
150,2023-05-30,0.5
