day,I
1,96
2,90
3,93
4,90
5,95
6,85
7,88
8,89
9,71
10,87
11,100
12,77
13,89
14,88
15,85
16,84
17,95
18,93
19,87
20,75
21,90
22,117
23,94
24,114
25,87
26,110
27,118
28,103
29,100
30,138
31,120
32,163
33,133
34,123
35,152
36,136
37,175
38,205
39,188
40,184
41,226
42,204
43,250
44,263
45,239
46,317
47,310
48,320
49,355
50,362
51,364
52,431
53,486
54,499
55,468
56,516
57,581
58,634
59,642
60,680
61,743
62,771
63,840
64,868
65,971
66,1003
67,1089
68,1119
69,1228
70,1290
71,1442
72,1509
73,1624
74,1666
75,1409
76,1079
77,683
78,746
79,744
80,732
81,624
82,568
83,483
84,413
85,386
86,376
87,316
88,298
89,275
90,250
91,222
92,179
93,142
94,148
95,156
96,117
97,109
98,124
99,87
100,73
101,69
102,62
103,56
104,61
105,54
106,45
107,45
108,29
109,34
110,20
111,26
112,19
113,23
114,11
115,15
116,10
117,16
118,8
119,12
120,8
121,7
122,7
123,4
124,4
125,8
126,2
127,2
128,7
129,1
130,4
131,2
132,1
133,3
134,0
135,0
136,1
137,2
138,0
139,1
140,1
141,0
142,0
143,0
144,0
145,2
146,0
147,1
148,0
149,0
150,0
