day,I
1,125
2,99
3,101
4,75
5,100
6,83
7,84
8,79
9,107
10,69
11,75
12,97
13,68
14,80
15,82
16,84
17,74
18,71
19,72
20,88
21,96
22,80
23,69
24,111
25,113
26,99
27,97
28,100
29,93
30,131
31,124
32,132
33,134
34,150
35,123
36,159
37,173
38,164
39,203
40,193
41,210
42,185
43,258
44,254
45,204
46,286
47,370
48,333
49,345
50,422
51,395
52,425
53,493
54,448
55,523
56,539
57,537
58,549
59,641
60,623
61,662
62,641
63,705
64,785
65,738
66,795
67,765
68,875
69,840
70,879
71,949
72,903
73,1008
74,935
75,977
76,976
77,986
78,1076
79,1058
80,1064
81,1015
82,998
83,1051
84,1121
85,1080
86,993
87,931
88,976
89,988
90,997
91,934
92,915
93,898
94,882
95,848
96,844
97,774
98,739
99,752
100,692
101,683
102,681
103,680
104,655
105,618
106,586
107,595
108,534
109,480
110,506
111,529
112,498
113,450
114,432
115,426
116,429
117,404
118,379
119,363
120,350
121,359
122,319
123,305
124,288
125,283
126,289
127,322
128,252
129,252
130,258
131,242
132,218
133,236
134,198
135,225
136,219
137,158
138,191
139,167
140,125
141,173
142,167
143,134
144,165
145,183
146,116
147,147
148,112
149,107
150,130
