day,I
1,98
2,91
3,88
4,77
5,83
6,87
7,66
8,85
9,74
10,70
11,91
12,73
13,79
14,88
15,69
16,66
17,72
18,75
19,59
20,72
21,69
22,67
23,77
24,81
25,64
26,88
27,91
28,92
29,92
30,106
31,124
32,106
33,131
34,131
35,150
36,178
37,164
38,212
39,221
40,258
41,272
42,311
43,324
44,379
45,432
46,437
47,536
48,596
49,644
50,711
51,817
52,964
53,1038
54,1156
55,1250
56,1403
57,1515
58,1675
59,1839
60,2027
61,2229
62,2319
63,2538
64,2800
65,2815
66,3224
67,3359
68,3601
69,3809
70,3912
71,4157
72,4373
73,4649
74,4701
75,4945
76,5046
77,5377
78,5360
79,5520
80,5661
81,5653
82,5660
83,5707
84,5752
85,5757
86,5727
87,5770
88,5597
89,5517
90,5370
91,5213
92,5039
93,4778
94,4646
95,4385
96,4253
97,3994
98,3686
99,3511
100,3195
101,3088
102,2907
103,2629
104,2466
105,2335
106,2162
107,2052
108,1911
109,1807
110,1694
111,1546
112,1468
113,1426
114,1328
115,1215
116,1171
117,1089
118,1009
119,908
120,926
121,830
122,741
123,747
124,677
125,628
126,561
127,527
128,489
129,487
130,424
131,413
132,393
133,357
134,360
135,331
136,288
137,291
138,264
139,263
140,241
141,205
142,216
143,186
144,195
145,179
146,159
147,157
148,138
149,141
150,150
