day,I
1,96
2,94
3,106
4,102
5,118
6,93
7,88
8,70
9,81
10,89
11,105
12,105
13,73
14,115
15,78
16,97
17,103
18,105
19,89
20,102
21,84
22,135
23,99
24,101
25,126
26,151
27,124
28,115
29,144
30,115
31,161
32,155
33,173
34,172
35,148
36,163
37,187
38,245
39,203
40,191
41,208
42,245
43,238
44,261
45,246
46,276
47,311
48,340
49,352
50,394
51,399
52,367
53,448
54,462
55,447
56,444
57,588
58,551
59,584
60,576
61,592
62,651
63,704
64,694
65,791
66,771
67,757
68,774
69,835
70,785
71,832
72,834
73,898
74,883
75,913
76,935
77,955
78,960
79,960
80,974
81,971
82,932
83,901
84,1017
85,946
86,945
87,941
88,861
89,917
90,904
91,945
92,868
93,845
94,757
95,779
96,744
97,796
98,751
99,670
100,709
101,658
102,622
103,657
104,506
105,644
106,578
107,462
108,547
109,486
110,483
111,444
112,436
113,414
114,405
115,401
116,439
117,328
118,398
119,378
120,341
121,366
122,276
123,327
124,326
125,290
126,250
127,298
128,244
129,251
130,285
131,255
132,211
133,211
134,220
135,204
136,167
137,182
138,210
139,157
140,167
141,171
142,148
143,207
144,159
145,162
146,127
147,136
148,157
149,103
150,123
