day,I
1,83
2,80
3,83
4,68
5,72
6,77
7,77
8,86
9,47
10,61
11,47
12,57
13,51
14,65
15,54
16,59
17,78
18,36
19,51
20,46
21,51
22,58
23,50
24,46
25,50
26,59
27,58
28,82
29,52
30,69
31,67
32,81
33,70
34,69
35,67
36,77
37,79
38,70
39,93
40,117
41,119
42,115
43,121
44,142
45,151
46,171
47,165
48,179
49,191
50,181
51,231
52,216
53,211
54,268
55,282
56,343
57,335
58,366
59,388
60,385
61,438
62,447
63,453
64,503
65,525
66,546
67,511
68,559
69,613
70,663
71,671
72,674
73,742
74,727
75,786
76,754
77,766
78,811
79,786
80,787
81,853
82,841
83,882
84,872
85,900
86,932
87,929
88,973
89,945
90,941
91,934
92,976
93,885
94,941
95,892
96,894
97,932
98,881
99,889
100,822
101,762
102,792
103,758
104,722
105,670
106,684
107,586
108,637
109,581
110,606
111,552
112,520
113,508
114,475
115,505
116,504
117,458
118,404
119,365
120,409
121,358
122,393
123,392
124,354
125,340
126,310
127,301
128,301
129,283
130,237
131,231
132,205
133,216
134,178
135,176
136,163
137,152
138,141
139,168
140,157
141,149
142,138
143,154
144,139
145,149
146,136
147,130
148,109
149,124
150,128
