day,I
1,65
2,58
3,57
4,60
5,55
6,65
7,60
8,38
9,37
10,46
11,40
12,48
13,42
14,31
15,36
16,27
17,33
18,38
19,33
20,41
21,38
22,28
23,35
24,29
25,30
26,28
27,30
28,27
29,25
30,22
31,27
32,29
33,36
34,26
35,31
36,31
37,35
38,42
39,40
40,38
41,34
42,47
43,42
44,49
45,50
46,54
47,52
48,66
49,61
50,89
51,76
52,92
53,84
54,119
55,124
56,128
57,129
58,159
59,174
60,164
61,192
62,226
63,234
64,220
65,250
66,266
67,289
68,341
69,372
70,376
71,393
72,460
73,500
74,496
75,570
76,605
77,671
78,653
79,628
80,678
81,613
82,475
83,408
84,416
85,333
86,326
87,298
88,243
89,204
90,203
91,179
92,145
93,155
94,136
95,102
96,106
97,69
98,73
99,73
100,60
101,53
102,63
103,38
104,35
105,29
106,26
107,25
108,29
109,21
110,16
111,20
112,17
113,16
114,14
115,11
116,10
117,6
118,7
119,5
120,6
121,6
122,1
123,5
124,5
125,4
126,4
127,2
128,1
129,1
130,0
131,0
132,2
133,0
134,2
135,1
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
