day,I
1,98
2,95
3,96
4,87
5,94
6,100
7,80
8,99
9,87
10,85
11,108
12,89
13,95
14,100
15,81
16,78
17,85
18,94
19,80
20,93
21,88
22,87
23,98
24,102
25,83
26,105
27,108
28,113
29,107
30,115
31,133
32,114
33,133
34,126
35,146
36,169
37,149
38,181
39,177
40,204
41,202
42,219
43,214
44,243
45,269
46,255
47,301
48,315
49,324
50,330
51,363
52,427
53,437
54,452
55,441
56,478
57,497
58,541
59,578
60,593
61,628
62,667
63,640
64,675
65,737
66,685
67,811
68,797
69,842
70,846
71,808
72,846
73,884
74,958
75,916
76,943
77,915
78,1011
79,965
80,987
81,995
82,964
83,947
84,952
85,974
86,986
87,979
88,998
89,938
90,924
91,894
92,878
93,862
94,811
95,815
96,771
97,787
98,744
99,680
100,669
101,618
102,643
103,629
104,565
105,538
106,526
107,505
108,508
109,484
110,473
111,452
112,412
113,407
114,423
115,409
116,376
117,371
118,350
119,335
120,302
121,338
122,307
123,276
124,292
125,268
126,259
127,231
128,223
129,217
130,235
131,207
132,209
133,201
134,186
135,198
136,186
137,162
138,170
139,158
140,168
141,158
142,133
143,145
144,128
145,145
146,136
147,123
148,122
149,108
150,117
