day,I
1,103
2,123
3,115
4,104
5,115
6,114
7,142
8,112
9,123
10,105
11,127
12,140
13,139
14,151
15,158
16,168
17,171
18,185
19,207
20,194
21,205
22,249
23,252
24,271
25,237
26,283
27,291
28,318
29,291
30,316
31,343
32,335
33,314
34,332
35,304
36,287
37,307
38,338
39,286
40,277
41,233
42,213
43,213
44,199
45,192
46,174
47,138
48,165
49,107
50,106
51,103
52,95
53,78
54,83
55,80
56,58
57,55
58,67
59,84
60,66
61,68
62,46
63,60
64,62
65,82
66,62
67,74
68,67
69,74
70,80
71,85
72,74
73,89
74,89
75,95
76,130
77,128
78,149
79,129
80,155
81,138
82,148
83,194
84,184
85,147
86,187
87,212
88,219
89,219
90,248
91,240
92,217
93,226
94,266
95,231
96,244
97,230
98,218
99,229
100,227
101,195
102,185
103,165
104,153
105,149
106,143
107,115
108,102
109,104
110,73
111,80
112,80
113,74
114,66
115,65
116,70
117,61
118,66
119,62
120,60
121,53
122,49
123,53
124,63
125,49
126,45
127,56
128,41
129,55
130,50
131,61
132,64
133,59
134,53
135,71
136,74
137,86
138,101
139,92
140,89
141,116
142,141
143,124
144,138
145,129
146,150
147,149
148,162
149,160
150,187
