"date","day","cases","infectivity","rt_mean","rt_lower","rt_upper"
2020-09-01,1,1962,78.0373449755018,NA,NA,NA
2020-09-02,2,2696,326.747824126663,NA,NA,NA
2020-09-03,3,2716,714.917523419909,NA,NA,NA
2020-09-04,4,2637,1146.32035859732,NA,NA,NA
2020-09-05,5,2200,1525.26466573307,NA,NA,NA
2020-09-06,6,2079,1796.28550634511,NA,NA,NA
2020-09-07,7,3530,2019.04538491084,NA,NA,NA
2020-09-08,8,3071,2250.78805384343,NA,NA,NA
2020-09-09,9,2893,2457.88230227342,NA,NA,NA
2020-09-10,10,3143,2625.4394485075,NA,NA,NA
2020-09-11,11,2893,2751.88114219432,NA,NA,NA
2020-09-12,12,2224,2805.93703979305,NA,NA,NA
2020-09-13,13,1722,2755.52721709668,NA,NA,NA
2020-09-14,14,2941,2664.58675605539,NA,NA,NA
2020-09-15,15,3057,2626.51545103909,NA,NA,NA
2020-09-16,16,3778,2680.8461824709,NA,NA,NA
2020-09-17,17,3979,2833.31084884916,NA,NA,NA
2020-09-18,18,4290,3055.83967373636,NA,NA,NA
2020-09-19,19,4215,3306.30981535022,NA,NA,NA
2020-09-20,20,4652,3558.33600252184,1.29847808756874,1.28301041104855,1.31403716143049
2020-09-21,21,4727,3805.61886194473,1.31239835279613,1.29725771802584,1.3276256157646
2020-09-22,22,5400,4059.28037145285,1.3322543962897,1.31747449335446,1.34711560044483
2020-09-23,23,5934,4347.9323454055,1.32965163314994,1.31538635137658,1.34399278751673
2020-09-24,24,6361,4681.03090934299,1.32686121294315,1.31310939710105,1.34068367321758
2020-09-25,25,6105,5024.03204844123,1.29918779727367,1.28605280196198,1.31238860629609
2020-09-26,26,5704,5310.3198817016,1.26298444360968,1.2504617371696,1.27556867974274
2020-09-27,27,6084,5520.59468377595,1.23103536728657,1.21904765023456,1.24308092729817
2020-09-28,28,8641,5780.39497094733,1.27374322943172,1.26189986076349,1.2856411514864
2020-09-29,29,8832,6193.66276208521,1.29309698355576,1.2815136575982,1.30473170383313
2020-09-30,30,10663,6774.59773454606,1.33359821924925,1.32220282785524,1.34504183029257
2020-10-01,31,11444,7519.22985585747,1.36441227366682,1.35328000063153,1.37558951737907
2020-10-02,32,11719,8347.65071560782,1.38815907779504,1.37734773728601,1.39901210017969
2020-10-03,33,9820,9076.92189441044,1.3655505000892,1.35524545697537,1.37589403490656
2020-10-04,34,9966,9569.79580130818,1.33462088740686,1.32482761479415,1.34444972545176
2020-10-05,35,14218,10019.3085414331,1.33322365939323,1.32380256903221,1.34267769336141
2020-10-06,36,14458,10639.6664265255,1.32835634981906,1.31929566401566,1.33744761484909
2020-10-07,37,15418,11416.8847805963,1.30715770640452,1.29848816451207,1.31585569570082
2020-10-08,38,15452,12260.3907664652,1.27646349147963,1.26818565142626,1.28476788811941
2020-10-09,39,13158,12964.718518442,1.21781122678562,1.2099753241214,1.22567207159427
2020-10-10,40,10301,13268.7963232264,1.16011316543666,1.15266782006106,1.16758214830764
2020-10-11,41,9781,13100.2135514515,1.10895178859697,1.10182770519914,1.11609851211946
2020-10-12,42,16420,12880.4929652239,1.09773140576855,1.09076149301524,1.10472321004511
2020-10-13,43,15660,12994.2832184046,1.08217511644986,1.07534697526803,1.08902456924233
2020-10-14,44,16644,13406.9245126869,1.07196812268037,1.06524701388034,1.07871007640124
2020-10-15,45,15428,13944.8904926296,1.05220020187593,1.0456022239724,1.05881864534585
2020-10-16,46,14761,14398.3099087901,1.053206379799,1.04665569865996,1.05977721436551
2020-10-17,47,12488,14594.7920530863,1.0614989893065,1.05496836284526,1.06804948884181
2020-10-18,48,11982,14464.0395447501,1.06929035314487,1.06278209061367,1.07581820842049
2020-10-19,49,22369,14518.3768169696,1.11198305971321,1.10540138239225,1.11858400339579
2020-10-20,50,21638,15206.3846494941,1.14697800473534,1.14036725974082,1.1536075921643
2020-10-21,51,21762,16316.9779027876,1.16418762927814,1.15762162180308,1.17077194911891
2020-10-22,52,19866,17464.9252579514,1.16736644545129,1.16090040938607,1.1738501912487
2020-10-23,53,18359,18313.2139009106,1.15859897904954,1.15227189146698,1.164943151071
2020-10-24,54,13713,18582.5988625399,1.12904065692849,1.12290413602368,1.13519366915522
2020-10-25,55,13353,18203.7962423203,1.1050003489316,1.09902594463396,1.11099072456693
2020-10-26,56,23033,17810.1460622572,1.08060783206826,1.0747800352823,1.08645116889832
2020-10-27,57,20762,17903.3105229619,1.05018676728463,1.04450413176744,1.05588460647384
2020-10-28,58,20548,18310.3866730845,1.02405921082796,1.01849210226184,1.02964128365166
