day,I
1,68
2,56
3,71
4,59
5,54
6,56
7,59
8,71
9,70
10,65
11,59
12,55
13,48
14,56
15,60
16,60
17,56
18,66
19,54
20,61
21,54
22,53
23,56
24,54
25,70
26,53
27,66
28,67
29,74
30,67
31,75
32,86
33,73
34,85
35,87
36,101
37,94
38,120
39,129
40,118
41,125
42,114
43,115
44,124
45,129
46,135
47,160
48,158
49,177
50,201
51,232
52,224
53,235
54,249
55,300
56,305
57,342
58,358
59,380
60,396
61,436
62,447
63,517
64,526
65,573
66,606
67,670
68,649
69,703
70,737
71,729
72,767
73,792
74,774
75,841
76,849
77,874
78,901
79,980
80,1066
81,1123
82,1027
83,973
84,1080
85,1111
86,1157
87,1042
88,1045
89,1047
90,1067
91,1053
92,1032
93,963
94,984
95,1007
96,975
97,950
98,917
99,862
100,902
101,799
102,805
103,788
104,757
105,751
106,767
107,653
108,707
109,664
110,619
111,623
112,610
113,533
114,582
115,530
116,523
117,491
118,529
119,497
120,449
121,475
122,423
123,440
124,434
125,421
126,412
127,360
128,345
129,334
130,329
131,298
132,329
133,298
134,255
135,278
136,223
137,235
138,264
139,218
140,213
141,205
142,236
143,220
144,201
145,174
146,169
147,161
148,145
149,172
150,157
