date,hospitalisations
2023-01-01,3
2023-01-02,5
2023-01-03,8
2023-01-04,8
2023-01-05,12
2023-01-06,8
2023-01-07,4
2023-01-08,3
2023-01-09,6
2023-01-10,4
2023-01-11,6
2023-01-12,11
2023-01-13,8
2023-01-14,8
2023-01-15,2
2023-01-16,3
2023-01-17,6
2023-01-18,4
2023-01-19,4
2023-01-20,6
2023-01-21,1
2023-01-22,4
2023-01-23,6
2023-01-24,4
2023-01-25,7
2023-01-26,3
2023-01-27,5
2023-01-28,3
2023-01-29,2
2023-01-30,5
2023-01-31,2
2023-02-01,7
2023-02-02,3
2023-02-03,4
2023-02-04,2
2023-02-05,1
2023-02-06,3
2023-02-07,7
2023-02-08,10
2023-02-09,5
2023-02-10,3
2023-02-11,3
2023-02-12,5
2023-02-13,12
2023-02-14,5
2023-02-15,6
2023-02-16,6
2023-02-17,5
2023-02-18,4
2023-02-19,5
2023-02-20,8
2023-02-21,5
2023-02-22,10
2023-02-23,10
2023-02-24,8
2023-02-25,5
2023-02-26,2
2023-02-27,6
2023-02-28,11
2023-03-01,12
2023-03-02,2
2023-03-03,6
2023-03-04,2
2023-03-05,12
2023-03-06,9
2023-03-07,10
2023-03-08,12
2023-03-09,12
2023-03-10,8
2023-03-11,8
2023-03-12,4
2023-03-13,13
2023-03-14,22
2023-03-15,10
2023-03-16,14
2023-03-17,23
2023-03-18,9
2023-03-19,6
2023-03-20,26
2023-03-21,32
2023-03-22,27
2023-03-23,23
2023-03-24,30
2023-03-25,9
2023-03-26,12
2023-03-27,27
2023-03-28,20
2023-03-29,21
2023-03-30,11
2023-03-31,14
2023-04-01,8
2023-04-02,4
2023-04-03,10
2023-04-04,13
2023-04-05,6
2023-04-06,9
2023-04-07,9
2023-04-08,2
2023-04-09,3
2023-04-10,4
2023-04-11,3
2023-04-12,9
2023-04-13,2
2023-04-14,4
2023-04-15,2
2023-04-16,2
2023-04-17,4
2023-04-18,1
2023-04-19,3
2023-04-20,1
2023-04-21,0
2023-04-22,1
2023-04-23,0
2023-04-24,0
2023-04-25,3
2023-04-26,0
2023-04-27,2
2023-04-28,3
2023-04-29,0
2023-04-30,0
2023-05-01,2
2023-05-02,1
2023-05-03,1
2023-05-04,0
2023-05-05,0
2023-05-06,1
2023-05-07,0
2023-05-08,0
2023-05-09,1
2023-05-10,1
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,1
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,1
2023-05-21,0
2023-05-22,0
2023-05-23,1
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,0
2023-05-28,1
2023-05-29,0
2023-05-30,0
