day,I
1,125
2,99
3,101
4,75
5,100
6,83
7,84
8,79
9,107
10,69
11,75
12,97
13,68
14,80
15,82
16,84
17,74
18,71
19,72
20,88
21,96
22,80
23,69
24,111
25,113
26,99
27,97
28,100
29,93
30,131
31,124
32,132
33,134
34,150
35,123
36,159
37,173
38,164
39,203
40,193
41,210
42,185
43,258
44,254
45,204
46,286
47,370
48,333
49,345
50,422
51,399
52,433
53,507
54,466
55,550
56,574
57,582
58,606
59,719
60,715
61,777
62,773
63,869
64,990
65,965
66,1067
67,1070
68,1249
69,1256
70,1368
71,1518
72,1527
73,1746
74,1727
75,1467
76,1097
77,706
78,799
79,798
80,772
81,674
82,575
83,534
84,508
85,445
86,360
87,311
88,300
89,283
90,264
91,221
92,199
93,184
94,170
95,148
96,141
97,114
98,98
99,103
100,84
101,73
102,70
103,75
104,67
105,57
106,47
107,41
108,34
109,22
110,30
111,33
112,29
113,18
114,16
115,16
116,23
117,17
118,11
119,12
120,8
121,7
122,11
123,10
124,5
125,6
126,9
127,13
128,1
129,4
130,0
131,3
132,4
133,3
134,4
135,1
136,0
137,2
138,0
139,1
140,1
141,0
142,2
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,0
