day,I
1,63
2,137
3,171
4,132
5,155
6,68
7,80
8,66
9,108
10,106
11,92
12,111
13,141
14,49
15,58
16,76
17,117
18,115
19,83
20,158
21,62
22,98
23,139
24,161
25,204
26,88
27,55
28,195
29,164
30,173
31,100
32,147
33,227
34,331
35,207
36,191
37,129
38,167
39,310
40,316
41,274
42,320
43,326
44,228
45,404
46,401
47,322
48,303
49,332
50,460
51,481
52,629
53,396
54,552
55,516
56,683
57,692
58,598
59,658
60,618
61,835
62,792
63,810
64,591
65,820
66,832
67,984
68,991
69,961
70,963
71,994
72,1016
73,1031
74,1207
75,1021
76,1148
77,1211
78,1146
79,1094
80,1055
81,1142
82,1268
83,1145
84,1044
85,1309
86,946
87,1141
88,1089
89,1045
90,1224
91,1113
92,1050
93,975
94,854
95,1074
96,903
97,951
98,968
99,700
100,777
101,680
102,702
103,723
104,720
105,701
106,615
107,667
108,514
109,578
110,461
111,620
112,572
113,551
114,568
115,495
116,377
117,425
118,494
119,431
120,335
121,291
122,411
123,391
124,276
125,393
126,364
127,319
128,291
129,382
130,318
131,296
132,313
133,226
134,248
135,327
136,224
137,250
138,267
139,243
140,269
141,113
142,259
143,239
144,191
145,166
146,140
147,221
148,145
149,167
150,143
