date,hospitalisations
2023-01-01,6
2023-01-02,3
2023-01-03,6
2023-01-04,8
2023-01-05,6
2023-01-06,9
2023-01-07,1
2023-01-08,4
2023-01-09,4
2023-01-10,4
2023-01-11,3
2023-01-12,7
2023-01-13,6
2023-01-14,3
2023-01-15,5
2023-01-16,1
2023-01-17,3
2023-01-18,7
2023-01-19,3
2023-01-20,3
2023-01-21,2
2023-01-22,1
2023-01-23,6
2023-01-24,4
2023-01-25,9
2023-01-26,3
2023-01-27,5
2023-01-28,2
2023-01-29,2
2023-01-30,3
2023-01-31,6
2023-02-01,2
2023-02-02,4
2023-02-03,5
2023-02-04,5
2023-02-05,1
2023-02-06,4
2023-02-07,5
2023-02-08,3
2023-02-09,8
2023-02-10,4
2023-02-11,2
2023-02-12,3
2023-02-13,9
2023-02-14,6
2023-02-15,6
2023-02-16,5
2023-02-17,10
2023-02-18,7
2023-02-19,2
2023-02-20,9
2023-02-21,11
2023-02-22,11
2023-02-23,7
2023-02-24,9
2023-02-25,8
2023-02-26,5
2023-02-27,6
2023-02-28,14
2023-03-01,10
2023-03-02,10
2023-03-03,12
2023-03-04,7
2023-03-05,5
2023-03-06,14
2023-03-07,19
2023-03-08,13
2023-03-09,7
2023-03-10,11
2023-03-11,6
2023-03-12,8
2023-03-13,7
2023-03-14,18
2023-03-15,16
2023-03-16,22
2023-03-17,16
2023-03-18,8
2023-03-19,2
2023-03-20,16
2023-03-21,15
2023-03-22,18
2023-03-23,10
2023-03-24,18
2023-03-25,11
2023-03-26,11
2023-03-27,25
2023-03-28,20
2023-03-29,24
2023-03-30,24
2023-03-31,21
2023-04-01,12
2023-04-02,10
2023-04-03,15
2023-04-04,13
2023-04-05,23
2023-04-06,16
2023-04-07,21
2023-04-08,12
2023-04-09,10
2023-04-10,14
2023-04-11,17
2023-04-12,19
2023-04-13,19
2023-04-14,17
2023-04-15,10
2023-04-16,7
2023-04-17,33
2023-04-18,20
2023-04-19,18
2023-04-20,17
2023-04-21,17
2023-04-22,12
2023-04-23,8
2023-04-24,17
2023-04-25,20
2023-04-26,27
2023-04-27,18
2023-04-28,17
2023-04-29,9
2023-04-30,7
2023-05-01,26
2023-05-02,17
2023-05-03,20
2023-05-04,23
2023-05-05,16
2023-05-06,6
2023-05-07,4
2023-05-08,11
2023-05-09,18
2023-05-10,27
2023-05-11,13
2023-05-12,14
2023-05-13,10
2023-05-14,7
2023-05-15,14
2023-05-16,19
2023-05-17,13
2023-05-18,15
2023-05-19,15
2023-05-20,5
2023-05-21,5
2023-05-22,6
2023-05-23,12
2023-05-24,11
2023-05-25,6
2023-05-26,20
2023-05-27,6
2023-05-28,3
2023-05-29,12
2023-05-30,9
