date,cases,hospitalisations,deaths,day_of_week
2020-09-01,1962,58,9,2
2020-09-02,2696,79,13,3
2020-09-03,2716,69,6,4
2020-09-04,2637,67,14,5
2020-09-05,2200,94,12,6
2020-09-06,2079,85,13,7
2020-09-07,3530,84,20,1
2020-09-08,3071,99,15,2
2020-09-09,2893,136,10,3
2020-09-10,3143,143,15,4
2020-09-11,2893,135,15,5
2020-09-12,2224,143,21,6
2020-09-13,1722,153,18,7
2020-09-14,2941,172,17,1
2020-09-15,3057,194,22,2
2020-09-16,3778,183,25,3
2020-09-17,3979,199,34,4
2020-09-18,4290,205,25,5
2020-09-19,4215,204,22,6
2020-09-20,4652,237,34,7
2020-09-21,4727,275,26,1
2020-09-22,5400,268,32,2
2020-09-23,5934,314,52,3
2020-09-24,6361,288,33,4
2020-09-25,6105,274,35,5
2020-09-26,5704,245,43,6
2020-09-27,6084,241,49,7
2020-09-28,8641,308,47,1
2020-09-29,8832,310,42,2
2020-09-30,10663,328,53,3
2020-10-01,11444,368,56,4
2020-10-02,11719,371,69,5
2020-10-03,9820,386,56,6
2020-10-04,9966,478,55,7
2020-10-05,14218,472,54,1
2020-10-06,14458,524,69,2
2020-10-07,15418,491,88,3
2020-10-08,15452,513,80,4
2020-10-09,13158,544,82,5
2020-10-10,10301,515,87,6
2020-10-11,9781,628,106,7
2020-10-12,16420,664,94,1
2020-10-13,15660,764,94,2
2020-10-14,16644,706,104,3
2020-10-15,15428,792,124,4
2020-10-16,14761,632,125,5
2020-10-17,12488,785,168,6
2020-10-18,11982,870,124,7
2020-10-19,22369,861,155,1
2020-10-20,21638,925,177,2
2020-10-21,21762,997,196,3
2020-10-22,19866,987,186,4
2020-10-23,18359,997,183,5
2020-10-24,13713,990,174,6
2020-10-25,13353,1186,207,7
2020-10-26,23033,1279,218,1
2020-10-27,20762,1190,226,2
2020-10-28,20548,1239,228,3
2020-10-29,20256,1345,253,4
2020-10-30,19899,1109,284,5
2020-10-31,14565,1240,277,6
2020-11-01,13611,1280,283,7
2020-11-02,28394,1331,279,1
2020-11-03,22690,1246,304,2
2020-11-04,21053,1382,283,3
2020-11-05,21206,1346,300,4
2020-11-06,21179,1182,339,5
2020-11-07,16888,1319,348,6
2020-11-08,18272,1488,347,7
2020-11-09,28562,1551,404,1
2020-11-10,24836,1592,329,2
2020-11-11,25064,1711,317,3
2020-11-12,22320,1666,357,4
2020-11-13,22009,1433,352,5
2020-11-14,16290,1388,367,6
2020-11-15,14430,1467,375,7
2020-11-16,24147,1560,362,1
2020-11-17,20675,1491,378,2
2020-11-18,18545,1571,444,3
2020-11-19,15797,1484,407,4
2020-11-20,14960,1316,407,5
2020-11-21,10806,1255,413,6
2020-11-22,10216,1333,420,7
2020-11-23,16472,1385,429,1
2020-11-24,14267,1277,423,2
2020-11-25,14153,1415,436,3
2020-11-26,12458,1198,380,4
2020-11-27,12459,1055,387,5
2020-11-28,9348,1065,389,6
2020-11-29,9067,1215,423,7
2020-11-30,15228,1216,385,1
2020-12-01,13732,1271,359,2
2020-12-02,13661,1262,348,3
2020-12-03,12761,1337,410,4
2020-12-04,13065,1248,420,5
2020-12-05,10302,1186,345,6
2020-12-06,11036,1311,363,7
2020-12-07,17662,1466,379,1
2020-12-08,16937,1528,398,2
2020-12-09,17744,1550,381,3
2020-12-10,18850,1524,407,4
2020-12-11,20177,1450,424,5
2020-12-12,16268,1587,411,6
2020-12-13,18409,1581,410,7
2020-12-14,30019,1746,422,1
2020-12-15,29652,1730,408,2
2020-12-16,30648,1796,386,3
2020-12-17,30160,1873,463,4
2020-12-18,32426,1672,478,5
2020-12-19,22195,1812,457,6
2020-12-20,29556,1976,455,7
2020-12-21,43446,2115,506,1
2020-12-22,41741,2203,539,2
2020-12-23,38382,1980,519,3
2020-12-24,29287,1795,503,4
2020-12-25,12926,1952,558,5
2020-12-26,37462,2298,593,6
2020-12-27,43250,2572,612,7
2020-12-28,40845,2795,615,1
2020-12-29,74058,2886,614,2
2020-12-30,64243,2861,655,3
2020-12-31,47824,2536,701,4
2021-01-01,28879,3010,689,5
2021-01-02,55429,3145,726,6
2021-01-03,50664,3351,684,7
2021-01-04,70920,3587,790,1
2021-01-05,59601,3697,856,2
2021-01-06,52752,3967,882,3
2021-01-07,48132,3849,918,4
2021-01-08,43494,3549,922,5
2021-01-09,36420,3718,976,6
2021-01-10,33749,3571,1030,7
2021-01-11,53519,3894,1076,1
2021-01-12,45968,4134,1173,2
2021-01-13,42302,3840,1161,3
2021-01-14,39660,3678,1167,4
2021-01-15,37878,3295,1162,5
2021-01-16,28413,3569,1241,6
2021-01-17,26976,3424,1229,7
2021-01-18,41936,3711,1242,1
2021-01-19,37054,3768,1328,2
2021-01-20,32678,3679,1237,3
2021-01-21,29632,3237,1204,4
2021-01-22,27741,3016,1189,5
2021-01-23,20425,2780,1148,6
2021-01-24,15883,2824,1086,7
2021-01-25,27972,2648,1150,1
2021-01-26,25209,2799,1046,2
2021-01-27,23899,2742,1108,3
2021-01-28,22523,2719,1110,4
2021-01-29,20363,2379,1008,5
2021-01-30,15524,2193,924,6
2021-01-31,14138,2183,899,7
2021-02-01,20764,2347,893,1
2021-02-02,18193,2222,854,2
2021-02-03,17948,2096,872,3
2021-02-04,16717,1907,735,4
2021-02-05,14461,1757,771,5
2021-02-06,10951,1679,686,6
2021-02-07,10458,1675,665,7
2021-02-08,14370,1739,702,1
2021-02-09,12696,1531,628,2
2021-02-10,12272,1535,629,3
2021-02-11,11637,1440,590,4
2021-02-12,10986,1318,546,5
2021-02-13,8025,1240,512,6
2021-02-14,7781,1364,520,7
2021-02-15,12953,1322,549,1
2021-02-16,11268,1311,501,2
2021-02-17,10419,1233,438,3
2021-02-18,10303,1149,454,4
2021-02-19,9246,1068,390,5
2021-02-20,7161,904,388,6
2021-02-21,7033,1008,355,7
2021-02-22,10279,980,325,1
2021-02-23,8536,976,336,2
2021-02-24,7620,874,317,3
2021-02-25,6933,832,308,4
2021-02-26,5883,718,262,5
2021-02-27,4254,624,265,6
2021-02-28,4112,662,257,7
2021-03-01,6215,704,254,1
2021-03-02,5950,683,210,2
2021-03-03,5305,607,188,3
2021-03-04,5011,596,204,4
2021-03-05,4728,487,203,5
2021-03-06,3832,528,178,6
2021-03-07,3677,461,175,7
2021-03-08,5818,501,165,1
2021-03-09,5488,483,160,2
2021-03-10,5222,494,136,3
2021-03-11,4848,449,152,4
2021-03-12,4767,386,117,5
2021-03-13,3592,385,123,6
2021-03-14,3707,357,115,7
2021-03-15,5643,431,122,1
2021-03-16,4933,364,94,2
2021-03-17,5047,343,104,3
2021-03-18,4689,351,85,4
2021-03-19,4333,283,82,5
2021-03-20,3514,287,89,6
2021-03-21,4679,279,109,7
2021-03-22,5400,294,89,1
2021-03-23,4566,295,83,2
2021-03-24,5321,277,58,3
2021-03-25,4674,288,68,4
2021-03-26,3803,245,61,5
2021-03-27,3136,217,55,6
2021-03-28,4477,221,43,7
2021-03-29,3422,206,58,1
2021-03-30,3135,217,50,2
2021-03-31,3340,225,64,3
